"V1","V2","V3","V4","V5"
1,1380,1,1314.43,1312.93880406854
2,1380,2,1315.22,1313.24634605766
3,1380,3,1311.38,1313.53143872596
4,1380,4,1311.93,1313.79496655621
5,1380,5,1311.6,1314.03781403118
6,1380,6,1313.69,1314.26086563363
7,1380,7,1314.61,1314.46500584631
8,1380,8,1314.27,1314.65111915201
9,1380,9,1315.44,1314.82009003348
10,1380,10,1316.21,1314.97280297348
11,1380,11,1316.76,1315.11014245478
12,1380,12,1316.97,1315.23299296014
13,1381,1,1317.48,1315.34223897233
14,1381,2,1317.51,1315.4387649741
15,1381,3,1314.45,1315.52345544824
16,1381,4,1314.81,1315.59719487749
17,1381,5,1314.65,1315.66086774463
18,1381,6,1314.53,1315.71535853241
19,1381,7,1315.41,1315.7615517236
20,1381,8,1311.94,1315.80033180097
21,1381,9,1315.84,1315.83258324727
22,1381,10,1316.56,1315.85919054528
23,1381,11,1317.09,1315.88103817776
24,1381,12,1317.58,1315.89901062746
25,1382,1,1317.84,1315.91399237716
26,1382,2,1315.16,1315.92686790962
27,1382,3,1314.68,1315.9385217076
28,1382,4,1315.31,1315.94983825387
29,1382,5,1314.04,1315.96170203119
30,1382,6,1315.11,1315.97499752232
31,1382,7,1315.5,1315.99060921003
32,1382,8,1314.09,1316.00942157709
33,1382,9,1316.26,1316.03212546732
34,1382,10,1317.19,1316.05863716886
35,1382,11,1317.71,1316.08867933091
36,1382,12,1317.86,1316.12197460268
37,1383,1,1318,1316.15824563335
38,1383,2,1317.66,1316.19721507214
39,1383,3,1315.41,1316.23860556825
40,1383,4,1315.59,1316.28213977087
41,1383,5,1315.08,1316.32754032921
42,1383,6,1314.19,1316.37452989247
43,1383,7,1316.71,1316.42283110986
44,1383,8,1315.89,1316.47216663056
45,1383,9,1316.83,1316.5222591038
46,1383,10,1317.73,1316.57283117876
47,1383,11,1318.23,1316.62360550465
48,1383,12,1318.51,1316.67430473066
49,1384,1,1318.81,1316.72465150601
50,1384,2,1316.73,1316.7743684799
51,1384,3,1316.99,1316.82317830151
52,1384,4,1316.84,1316.87080362007
53,1384,5,1314.85,1316.91696708476
54,1384,6,1316.04,1316.96139134479
55,1384,7,1314.83,1317.00379904936
56,1384,8,1314.21,1317.04391284767
57,1384,9,1316.89,1317.08145538893
58,1384,10,1318.11,1317.11614932233
59,1384,11,1318.53,1317.14771729708
60,1384,12,1318.58,1317.17588196238
61,1385,1,1317.61,1317.20036596743
62,1385,2,1316.43,1317.22089196143
63,1385,3,1316.54,1317.23718259358
64,1385,4,1316.79,1317.24896051309
65,1385,5,1316.21,1317.25603439598
66,1385,6,1316.31,1317.25855702564
67,1385,7,1316.51,1317.25676721224
68,1385,8,1316.91,1317.25090376599
69,1385,9,1317.53,1317.24120549708
70,1385,10,1317.59,1317.22791121572
71,1385,11,1318.25,1317.2112597321
72,1385,12,1318.63,1317.19148985642
73,1386,1,1319.06,1317.16884039888
74,1386,2,1318.4,1317.14355016967
75,1386,3,1317.23,1317.11585797899
76,1386,4,1316.01,1317.08600263703
77,1386,5,1319.38,1317.05422295401
78,1386,6,1315.85,1317.0207577401
79,1386,7,1316.32,1316.98584580552
80,1386,8,1314.66,1316.94972596045
81,1386,9,1317.52,1316.9126370151
82,1386,10,1317.56,1316.87481777967
83,1386,11,1318.29,1316.83650706434
84,1386,12,1318.65,1316.79794367932
85,1387,1,1318.55,1316.75936643481
