"V1","V2","V3","V4","V5"
1,1380,1,1312.05,1312.11106187427
2,1380,2,1312.54,1312.07522241713
3,1380,3,1312.43,1312.04562051724
4,1380,4,1311.72,1312.02196385218
5,1380,5,1311.41,1312.00396009953
6,1380,6,1311.64,1311.99131693684
7,1380,7,1312.03,1311.98374204169
8,1380,8,1312.05,1311.98094309166
9,1380,9,1311.96,1311.98262776432
10,1380,10,1311.77,1311.98850373722
11,1380,11,1311.93,1311.99827868796
12,1380,12,1311.79,1312.01166029409
13,1381,1,1311.93,1312.02835623319
14,1381,2,1312.33,1312.04807418282
15,1381,3,1313.58,1312.07052182057
16,1381,4,1312.41,1312.095406824
17,1381,5,1312.14,1312.12243687068
18,1381,6,1312.03,1312.15131963819
19,1381,7,1312.11,1312.18176280409
20,1381,8,1311.99,1312.21347404595
21,1381,9,1311.87,1312.24616104136
22,1381,10,1311.8,1312.27953146787
23,1381,11,1311.79,1312.31329300305
24,1381,12,1312.15,1312.34715332449
25,1382,1,1312.65,1312.38082010975
26,1382,2,1312.85,1312.4140010364
27,1382,3,1313.56,1312.44640378201
28,1382,4,1312.67,1312.47773602416
29,1382,5,1312.2,1312.50770544041
30,1382,6,1312.08,1312.53601970834
31,1382,7,1312.35,1312.56238650551
32,1382,8,1312.43,1312.58651350951
33,1382,9,1312.27,1312.6081699794
34,1382,10,1312.3,1312.62737150037
35,1382,11,1311.96,1312.64419523908
36,1382,12,1312.13,1312.65871836221
37,1383,1,1313.2,1312.67101803644
38,1383,2,1313.83,1312.68117142845
39,1383,3,1313.73,1312.68925570491
40,1383,4,1312.9,1312.6953480325
41,1383,5,1312.49,1312.69952557789
42,1383,6,1312.17,1312.70186550778
43,1383,7,1311.93,1312.70244498882
44,1383,8,1312.06,1312.70134118771
45,1383,9,1312.51,1312.69863127112
46,1383,10,1312.43,1312.69439240572
47,1383,11,1312.38,1312.68870175819
48,1383,12,1312.73,1312.68163649521
49,1384,1,1313.18,1312.67327378346
50,1384,2,1313.68,1312.66369078962
51,1384,3,1313.81,1312.65296468035
52,1384,4,1313.75,1312.64117262235
53,1384,5,1312.48,1312.62839178228
54,1384,6,1312.23,1312.61469932683
55,1384,7,1311.98,1312.60017242267
56,1384,8,1312.13,1312.58488823648
57,1384,9,1311.98,1312.56892393493
58,1384,10,1313.58,1312.55235668471
59,1384,11,1312.49,1312.53526365249
60,1384,12,1312.43,1312.51772200495
61,1385,1,1312.38,1312.49980890876
62,1385,2,1312.66,1312.48160153061
63,1385,3,1312.43,1312.46317703717
64,1385,4,1311.83,1312.44461259512
65,1385,5,1312.03,1312.42598042385
66,1385,6,1311.73,1312.4073329536
67,1385,7,1312.21,1312.38871766734
68,1385,8,1312.33,1312.37018204803
69,1385,9,1312.28,1312.35177357863
70,1385,10,1312.14,1312.33353974211
71,1385,11,1312.31,1312.31552802141
72,1385,12,1312.73,1312.29778589951
73,1386,1,1312.9,1312.28036085937
74,1386,2,1313.43,1312.26330038394
75,1386,3,1312.13,1312.24665195619
76,1386,4,1312.73,1312.23046305908
77,1386,5,1312.93,1312.21478117557
78,1386,6,1312.13,1312.19965378861
79,1386,7,1312.16,1312.18512838119
80,1386,8,1312.23,1312.17125243624
81,1386,9,1312.28,1312.15807343674
82,1386,10,1312.13,1312.14563886565
83,1386,11,1311.58,1312.13399620592
84,1386,12,1311.56,1312.12319294052
85,1387,1,1311.52,1312.11327655241
86,1387,2,1311.73,1312.10429452456
87,1387,3,1312.98,1312.09629433991
88,1387,4,1312.43,1312.08932348144
89,1387,5,1310.99,1312.0834294321
90,1387,6,1311.13,1312.07865967486
91,1387,7,1311.22,1312.07506169267
92,1387,8,1311.75,1312.07268296851
93,1387,9,1311.78,1312.07157098532
94,1387,10,1311.68,1312.07177322607
95,1387,11,1311.73,1312.07333717372
96,1387,12,1312.88,1312.07631031124
97,1388,1,1312.93,1312.08071530984
98,1388,2,1312.55,1312.08647559382
99,1388,3,1312.83,1312.09348977572
100,1388,4,1312.81,1312.10165646808
101,1388,5,1312.1,1312.11087428345
102,1388,6,1311.75,1312.12104183439
103,1388,7,1311.87,1312.13205773343
104,1388,8,1312.02,1312.14382059313
105,1388,9,1311.81,1312.15622902604
106,1388,10,1312.02,1312.16918164469
107,1388,11,1312.14,1312.18257706164
108,1388,12,1312.43,1312.19631388944
109,1389,1,1312.63,1312.21029074063
110,1389,2,1313.11,1312.22440622776
111,1389,3,1312.79,1312.23855896338
112,1389,4,1312.68,1312.25264756004
113,1389,5,1312.23,1312.26657063027
114,1389,6,1312.13,1312.28022678664
115,1389,7,1312.28,1312.29351464168
116,1389,8,1311.98,1312.30633280795
117,1389,9,1311.95,1312.31857989799
118,1389,10,1311.89,1312.33015452435
119,1389,11,1311.93,1312.34095529958
120,1389,12,1312.43,1312.35088083622
121,1390,1,1312.63,1312.35982974682
122,1390,2,1312.46,1312.36770064393
123,1390,3,1312.68,1312.3743921401
