"V1","V2","V3","V4","V5"
1,1380,1,1332.69,1331.52802292504
2,1380,2,1332.34,1331.6839324313
3,1380,3,1332.21,1331.83115917777
4,1380,4,1331.44,1331.96998221403
5,1380,5,1331.19,1332.10068058965
6,1380,6,1331.23,1332.22353335419
7,1380,7,1331.46,1332.33881955723
8,1380,8,1331.94,1332.44681824833
9,1380,9,1332.32,1332.54780847708
10,1380,10,1332.73,1332.64206929303
11,1380,11,1333.02,1332.72987974575
12,1380,12,1333.02,1332.81151888482
13,1381,1,1333.25,1332.88726575981
14,1381,2,1333.81,1332.95739942028
15,1381,3,1333.15,1333.02219891581
16,1381,4,1332.77,1333.08194329596
17,1381,5,1332.49,1333.13691161031
18,1381,6,1332.46,1333.18738290843
19,1381,7,1332.72,1333.23363623988
20,1381,8,1333.49,1333.27595065424
21,1381,9,1333.49,1333.31460520107
22,1381,10,1333.67,1333.34987892994
23,1381,11,1333.89,1333.38205089044
24,1381,12,1334.07,1333.41140013211
25,1382,1,1334.29,1333.43820570454
26,1382,2,1334.48,1333.4627466573
27,1382,3,1333.85,1333.48530203995
28,1382,4,1333.45,1333.50615090206
29,1382,5,1333.07,1333.52557229321
30,1382,6,1332.97,1333.54384526296
31,1382,7,1333.04,1333.56124886089
32,1382,8,1333.32,1333.57806213656
33,1382,9,1333.69,1333.59451204851
34,1382,10,1333.94,1333.61061719108
35,1382,11,1334.11,1333.62634406761
36,1382,12,1334.08,1333.6416591814
37,1383,1,1333.99,1333.65652903579
38,1383,2,1334.34,1333.67092013408
39,1383,3,1333.74,1333.6847989796
40,1383,4,1333.44,1333.69813207566
41,1383,5,1333.29,1333.71088592558
42,1383,6,1333.06,1333.72302703268
43,1383,7,1333.12,1333.73452190028
44,1383,8,1333.45,1333.7453370317
45,1383,9,1333.77,1333.75543893026
46,1383,10,1334.05,1333.76479409927
47,1383,11,1334.16,1333.77336904206
48,1383,12,1334.23,1333.78113026193
49,1384,1,1334.17,1333.78804426222
50,1384,2,1332.41,1333.79407754623
51,1384,3,1334.01,1333.7991966173
52,1384,4,1333.53,1333.80336797873
53,1384,5,1333.26,1333.80655813384
54,1384,6,1333.11,1333.80873358596
55,1384,7,1333.16,1333.8098608384
56,1384,8,1333.19,1333.80990639447
57,1384,9,1333.33,1333.80883675751
58,1384,10,1334.14,1333.80661843083
59,1384,11,1334.31,1333.80321791774
60,1384,12,1334.39,1333.79860172156
61,1385,1,1334.19,1333.79273634562
62,1385,2,1334.55,1333.78558829323
63,1385,3,1333.86,1333.7771240677
64,1385,4,1333.16,1333.76731017237
65,1385,5,1332.84,1333.75613181542
66,1385,6,1332.69,1333.74364902458
67,1385,7,1332.77,1333.72994053242
68,1385,8,1333.78,1333.71508507155
69,1385,9,1333.94,1333.69916137455
70,1385,10,1333.56,1333.68224817402
71,1385,11,1334.21,1333.66442420256
72,1385,12,1334.21,1333.64576819275
73,1386,1,1334.47,1333.62635887718
74,1386,2,1334.69,1333.60627498846
75,1386,3,1334.29,1333.58559525916
76,1386,4,1333.83,1333.56439842189
77,1386,5,1333.34,1333.54276320923
78,1386,6,1333.18,1333.52076835378
79,1386,7,1333.21,1333.49849258814
80,1386,8,1333.46,1333.47601464488
81,1386,9,1333.91,1333.45341325661
82,1386,10,1333.52,1333.43076715592
83,1386,11,1334.21,1333.4081550754
84,1386,12,1334.36,1333.38565574764
85,1387,1,1334.16,1333.36334790524
86,1387,2,1333.87,1333.34131028078
87,1387,3,1333.18,1333.31962160687
88,1387,4,1332.99,1333.29836061609
89,1387,5,1332.56,1333.27760604103
90,1387,6,1332.27,1333.25743661429
91,1387,7,1332.57,1333.23793106846
92,1387,8,1332.92,1333.21916813613
93,1387,9,1333.27,1333.2012265499
94,1387,10,1333.51,1333.18418504235
95,1387,11,1333.66,1333.16812234608
96,1387,12,1333.69,1333.15311719368
97,1388,1,1333.63,1333.13921891717
98,1388,2,1333.48,1333.12635924622
99,1388,3,1332.86,1333.11444050992
100,1388,4,1332.58,1333.10336503737
101,1388,5,1332.25,1333.09303515768
102,1388,6,1331.93,1333.08335319993
103,1388,7,1332.1,1333.07422149323
104,1388,8,1332.16,1333.06554236666
105,1388,9,1332.68,1333.05721814933
106,1388,10,1332.99,1333.04915117033
107,1388,11,1333.36,1333.04124375876
108,1388,12,1333.51,1333.03339824371
109,1389,1,1333.41,1333.02551695428
110,1389,2,1333.94,1333.01750221958
111,1389,3,1333.78,1333.00925636868
112,1389,4,1332.91,1333.0006817307
113,1389,5,1332.49,1332.99168063472
114,1389,6,1332.49,1332.98215540984
115,1389,7,1332.41,1332.97200838516
116,1389,8,1332.53,1332.96114188978
117,1389,9,1332.79,1332.94945825279
118,1389,10,1333.01,1332.93685980329
119,1389,11,1333.23,1332.92324887038
120,1389,12,1333.41,1332.90852778314
121,1390,1,1333.26,1332.89259887068
122,1390,2,1333.86,1332.8753644621
123,1390,3,1333.36,1332.85672688649
124,1390,4,1332.87,1332.83658847294
125,1390,5,1332.37,1332.81485155056
126,1390,6,1332.05,1332.79141844844
127,1390,7,1332.19,1332.76619149567
128,1390,8,1332.36,1332.73907302135
129,1390,9,1332.79,1332.71000536472
130,1390,10,1333.01,1332.67909090552
131,1390,11,1333.05,1332.64647203366
132,1390,12,1333.23,1332.61229113901
133,1391,1,1333.11,1332.57669061147
134,1391,2,1333.61,1332.53981284093
135,1391,3,1333.12,1332.50180021729
136,1391,4,1332.53,1332.46279513042
137,1391,5,1331.99,1332.42293997022
138,1391,6,1331.65,1332.38237712658
139,1391,7,1331.58,1332.34124898938
140,1391,8,1331.75,1332.29969794853
141,1391,9,1331.93,1332.25786639391
142,1391,10,1332.39,1332.21589671541
143,1391,11,1332.61,1332.17393130293
144,1391,12,1332.67,1332.13211254634
145,1392,1,1332.58,1332.09058283554
146,1392,2,1332.33,1332.04948456042
147,1392,3,1331.85,1332.00896011087
148,1392,4,1331.76,1331.96915187679
149,1392,5,1331.02,1331.93020224805
150,1392,6,1330.88,1331.89225361456
151,1392,7,1330.9,1331.8554483662
152,1392,8,1331.09,1331.81992889286
153,1392,9,1331.65,1331.78583758443
154,1392,10,1331.9,1331.7533168308
155,1392,11,1331.93,1331.72250902187
156,1392,12,1332.29,1331.69355654751
157,1393,1,1332.63,1331.66660179763
158,1393,2,1332.61,1331.64178716211
159,1393,3,1332.29,1331.61925503084
160,1393,4,1331.23,1331.59914779372
161,1393,5,1331.14,1331.58155030167
162,1393,6,1330.86,1331.56631724983
163,1393,7,1330.9,1331.55324579434
164,1393,8,1331.07,1331.54213309139
165,1393,9,1331.12,1331.53277629714
166,1393,10,1331.79,1331.52497256775
167,1393,11,1331.88,1331.51851905939
168,1393,12,1331.96,1331.51321292823
169,1394,1,1332.4,1331.50885133043
170,1394,2,1332.3,1331.50523142216
171,1394,3,1332.27,1331.50215035958
172,1394,4,1332.23,1331.49940529886
173,1394,5,1331.38,1331.49679339618
174,1394,6,1331.26,1331.49411180768
175,1394,7,1330.1,1331.49115768955
176,1394,8,1330.2,1331.48772819794
177,1394,9,1331.13,1331.48362048903
178,1394,10,1331.66,1331.47863171897
179,1394,11,1332.29,1331.47255904394
180,1394,12,1332.31,1331.4651996201
181,1395,1,1331.98,1331.45635060362
182,1395,2,1331.66,1331.44580915066
183,1395,3,1331.51,1331.4333724174
184,1395,4,1331.34,1331.41883755999
185,1395,5,1331.19,1331.4020017346
186,1395,6,1330.71,1331.3826620974
187,1395,7,1330.49,1331.36061580456
188,1395,8,1330.81,1331.33566001223
189,1395,9,1330.83,1331.3075918766
190,1395,10,1330.91,1331.27620855382
191,1395,11,1331.38,1331.24130720006
192,1395,12,1332.71,1331.20268497148
