"V1","V2","V3","V4","V5"
1,1380,1,1563.4,1563.91636476628
2,1380,2,1563.18,1563.79193476059
3,1380,3,1562.9,1563.67340839508
4,1380,4,1563.56057234052,1563.56057234052
5,1380,5,1562.62,1563.45321326772
6,1380,6,1562.7,1563.35111784748
7,1380,7,1563.11,1563.25407275057
8,1380,8,1563.08,1563.1618646478
9,1380,9,1564.02,1563.07428020996
10,1380,10,1565,1562.99110610784
11,1380,11,1565.31,1562.91212901224
12,1380,12,1566.06,1562.83713559395
13,1381,1,1566.57,1562.76591252376
14,1381,2,1562.33,1562.69824647246
15,1381,3,1562.22,1562.63392411086
16,1381,4,1561.97,1562.57273210973
17,1381,5,1561.77,1562.51445713988
18,1381,6,1561.55,1562.4588858721
19,1381,7,1561.4,1562.40580497718
20,1381,8,1561.51,1562.35500112592
21,1381,9,1561.45,1562.30626098911
22,1381,10,1561.33,1562.25937123753
23,1381,11,1560.97,1562.21411854199
24,1381,12,1561.25,1562.17028957328
25,1382,1,1561.77,1562.12767100219
26,1382,2,1561.79,1562.08604949952
27,1382,3,1561.78,1562.04521173605
28,1382,4,1561.74,1562.00494438259
29,1382,5,1561.2,1561.96503410992
30,1382,6,1561.6,1561.92526758883
31,1382,7,1561.65,1561.88543149013
32,1382,8,1562.17,1561.8453124846
33,1382,9,1562.22,1561.80475042019
34,1382,10,1562.48,1561.76379785342
35,1382,11,1562.13,1561.72256051795
36,1382,12,1562.12,1561.68114414747
37,1383,1,1562,1561.63965447564
38,1383,2,1562.06,1561.59819723614
39,1383,3,1561.6,1561.55687816263
40,1383,4,1561.4,1561.51580298879
41,1383,5,1561.22,1561.47507744829
42,1383,6,1561.43,1561.4348072748
43,1383,7,1561.4,1561.395098202
44,1383,8,1561.7,1561.35605596355
45,1383,9,1561.75,1561.31778629312
46,1383,10,1561.8,1561.28039492439
47,1383,11,1561.88,1561.24398759103
48,1383,12,1561.27,1561.20867002671
49,1384,1,1561.55,1561.17454796511
50,1384,2,1561.08,1561.14172713988
51,1384,3,1561.05,1561.11031328472
52,1384,4,1561.45,1561.08041213327
53,1384,5,1561.42,1561.05212941923
54,1384,6,1561.18,1561.02557087625
55,1384,7,1561.22,1561.00084223802
56,1384,8,1561.26,1560.9780492382
57,1384,9,1561.42,1560.95729761046
58,1384,10,1560.9,1560.93869308848
59,1384,11,1560.38,1560.92234140593
60,1384,12,1561.33,1560.90834829647
61,1385,1,1561.1,1560.89681949378
62,1385,2,1561.17,1560.88786073154
63,1385,3,1561.35,1560.88157774341
64,1385,4,1561.13,1560.87807626306
65,1385,5,1561.05,1560.87741232424
66,1385,6,1561.18,1560.87944316098
67,1385,7,1560.93,1560.88397630737
68,1385,8,1560.97,1560.89081929752
69,1385,9,1560.93,1560.89977966552
70,1385,10,1561.54,1560.91066494547
71,1385,11,1561.35,1560.92328267147
72,1385,12,1559,1560.93744037763
73,1386,1,1559.2,1560.95294559804
74,1386,2,1560.83,1560.96960586679
75,1386,3,1560.7,1560.987228718
76,1386,4,1560.67,1561.00562168575
77,1386,5,1560.65,1561.02459230415
78,1386,6,1560.87,1561.0439481073
79,1386,7,1560.78,1561.0634966293
80,1386,8,1561.25,1561.08304540424
81,1386,9,1560.9,1561.10240196623
82,1386,10,1561.5,1561.12137384936
83,1386,11,1561.46,1561.13976858773
84,1386,12,1561.7,1561.15739371545
85,1387,1,1561.43,1561.17405676661
86,1387,2,1561.1,1561.18956527531
87,1387,3,1560.7,1561.20372677566
88,1387,4,1560.61,1561.21634880174
89,1387,5,1560.9,1561.22723888766
90,1387,6,1560.78,1561.23620456752
91,1387,7,1560.68,1561.24305337542
92,1387,8,1560.75,1561.24759284546
93,1387,9,1560.88,1561.24963051173
94,1387,10,1560.68,1561.24897390834
95,1387,11,1560.63,1561.24543056939
96,1387,12,1561.58,1561.23880802897
97,1388,1,1561.67,1561.22897942066
98,1388,2,1561.2,1561.21608027597
99,1388,3,1560.98,1561.20031172587
100,1388,4,1560.85,1561.18187490135
101,1388,5,1560.9,1561.16097093338
102,1388,6,1560.96,1561.13780095295
103,1388,7,1561,1561.11256609104
104,1388,8,1561.54,1561.08546747862
105,1388,9,1561.34,1561.05670624667
106,1388,10,1561.47,1561.02648352619
107,1388,11,1561.5,1560.99500044813
108,1388,12,1562,1560.9624581435
109,1389,1,1562.1,1560.92905774326
110,1389,2,1561.48,1560.89500037841
111,1389,3,1561.18,1560.86048717991
112,1389,4,1561,1560.82571927874
113,1389,5,1561.03,1560.7908978059
114,1389,6,1560.9,1560.75622389235
115,1389,7,1560.93,1560.72189866909
116,1389,8,1560.9,1560.68812326708
117,1389,9,1560.82,1560.65509881731
118,1389,10,1560.73,1560.62302645076
119,1389,11,1560.8,1560.59210729842
120,1389,12,1560.84,1560.56254249125
121,1390,1,1560.73,1560.53453316024
122,1390,2,1560.85,1560.50828043638
123,1390,3,1560.82,1560.48398545063
124,1390,4,1560.56,1560.46184933399
125,1390,5,1560.5,1560.44207321743
126,1390,6,1560.43,1560.42485823193
127,1390,7,1560.48,1560.41040550847
128,1390,8,1560.3,1560.39891617804
129,1390,9,1560.38,1560.39049600906
130,1390,10,1560.47,1560.38486931977
131,1390,11,1560.52,1560.38166506585
132,1390,12,1560.58,1560.380512203
133,1391,1,1560.6,1560.38103968689
134,1391,2,1560.48,1560.38287647322
135,1391,3,1560.45,1560.38565151767
136,1391,4,1560.15,1560.38899377592
137,1391,5,1560.28,1560.39253220367
138,1391,6,1560.35,1560.39589575659
139,1391,7,1560.32,1560.39871339038
140,1391,8,1560.38,1560.40061406072
141,1391,9,1560.3,1560.4012267233
142,1391,10,1560.45,1560.4001803338
143,1391,11,1559.62,1560.39710384792
144,1391,12,1559.55,1560.39162622132
145,1392,1,1559.49,1560.38337640971
146,1392,2,1559.3,1560.37198336877
147,1392,3,1559.22,1560.35707605418
148,1392,4,1559.46,1560.33828342164
149,1392,5,1559.6,1560.31523442682
150,1392,6,1559.55,1560.28755802541
151,1392,7,1559.4,1560.25488317311
152,1392,8,1559.7,1560.21683882559
153,1392,9,1560,1560.17305393854
154,1392,10,1560,1560.12315746765
155,1392,11,1560.2,1560.0667783686
156,1392,12,1560.4,1560.00354559708
157,1393,1,1560.4,1559.93308810878
158,1393,2,1560.3,1559.85503485939
159,1393,3,1560.25,1559.76901480458
160,1393,4,1560.25,1559.67465690005
161,1393,5,1559.9,1559.57188442136
162,1393,6,1559.8,1559.46179792367
163,1393,7,1559.75,1559.34579228199
164,1393,8,1560.05,1559.22526237135
165,1393,9,1560.1,1559.10160306678
166,1393,10,1560.1,1558.97620924329
167,1393,11,1560.1,1558.85047577593
168,1393,12,1560.15,1558.7257975397
169,1394,1,1560.25,1558.60356940965
170,1394,2,1560.27,1558.48518626079
171,1394,3,1560.02,1558.37204296816
172,1394,4,1559.57,1558.26553440677
173,1394,5,1559.48,1558.16705545166
174,1394,6,1559.4,1558.07800097784
175,1394,7,1554.74,1557.99976586035
176,1394,8,1554.82,1557.93374497422
177,1394,9,1555.48,1557.88133319446
178,1394,10,1555.85,1557.8439253961
179,1394,11,1555.85,1557.82291645418
180,1394,12,1556.95,1557.81970124371
181,1395,1,1557.93,1557.83567463972
182,1395,2,1559.35,1557.87223151724
183,1395,3,1559.7,1557.93076675129
184,1395,4,1559.7,1558.0126752169
185,1395,5,1557.8,1558.1193517891
186,1395,6,1557.8,1558.25219134291
187,1395,7,1556.19,1558.41258875336
188,1395,8,1557.7,1558.60193889547
189,1395,9,1558.95,1558.82163664428
190,1395,10,1559.35,1559.07307687479
191,1395,11,1559.53,1559.35765446205
192,1395,12,1559.9,1559.67676428108
