"V1","V2","V3","V4","V5"
1,1380,1,1287.54,1285.51225016084
2,1380,2,1287.16,1286.12178980003
3,1380,3,1286.82,1286.67523310388
4,1380,4,1286.54,1287.17478169306
5,1380,5,1286.71,1287.62263718824
6,1380,6,1286.74,1288.02100121012
7,1380,7,1286.79,1288.37207537937
8,1380,8,1286.88,1288.67806131666
9,1380,9,1288.68,1288.94116064268
10,1380,10,1289.37,1289.16357497811
11,1380,11,1289.48,1289.34750594363
12,1380,12,1289.45,1289.49515515992
13,1381,1,1290.24,1289.60872424765
14,1381,2,1290.67,1289.6904148275
15,1381,3,1291.48,1289.74242852017
16,1381,4,1290.47,1289.76696694631
17,1381,5,1289.58,1289.76623172662
18,1381,6,1289.12,1289.74242448178
19,1381,7,1288.64,1289.69774683245
20,1381,8,1288.28,1289.63440039933
21,1381,9,1288.52,1289.55458680309
22,1381,10,1288.55,1289.46050766442
23,1381,11,1288.15,1289.35436460398
24,1381,12,1288,1289.23835924246
25,1382,1,1289.09,1289.11469320055
26,1382,2,1293.36,1288.98556809891
27,1382,3,1291.91,1288.85318555823
28,1382,4,1290.6,1288.71974719919
29,1382,5,1289.69,1288.58745464247
30,1382,6,1288.99,1288.45850950874
31,1382,7,1288.62,1288.33511341869
32,1382,8,1288.23,1288.219467993
33,1382,9,1287.96,1288.11333090067
34,1382,10,1287.72,1288.01668400405
35,1382,11,1287.54,1287.9290652138
36,1382,12,1287.4,1287.85001244058
37,1383,1,1287.42,1287.77906359507
38,1383,2,1287.62,1287.71575658794
39,1383,3,1287.78,1287.65962932984
40,1383,4,1287.66,1287.61021973146
41,1383,5,1287.38,1287.56706570345
42,1383,6,1287.56,1287.52970515648
43,1383,7,1287.58,1287.49767600122
44,1383,8,1287.47,1287.47051614834
45,1383,9,1287.27,1287.44776350851
46,1383,10,1287.07,1287.42895599238
47,1383,11,1286.94,1287.41363151064
48,1383,12,1286.89,1287.40132797395
49,1384,1,1287.02,1287.39158329298
50,1384,2,1287.42,1287.38393537838
51,1384,3,1287.45,1287.37792214084
52,1384,4,1287.17,1287.37308149101
53,1384,5,1286.97,1287.36895133958
54,1384,6,1286.79,1287.36506959719
55,1384,7,1286.62,1287.36097417452
56,1384,8,1286.54,1287.35620298225
57,1384,9,1286.4,1287.35029393103
58,1384,10,1286.65,1287.34278493153
59,1384,11,1286.82,1287.33321389442
60,1384,12,1286.34,1287.32111873037
61,1385,1,1286.39,1287.30603735005
62,1385,2,1287.72,1287.28750766412
63,1385,3,1287.79,1287.26506758325
64,1385,4,1287.4,1287.23825501811
65,1385,5,1287.2,1287.20673930502
66,1385,6,1287.19,1287.17071548297
67,1385,7,1286.95,1287.13051001657
68,1385,8,1286.85,1287.08644937046
69,1385,9,1286.76,1287.03886000927
