"V1","V2","V3","V4","V5"
1,1380,1,1313.24,1312.63952842391
2,1380,2,1313.35,1312.80930102076
3,1380,3,1313.25,1312.96810341976
4,1380,4,1312.77,1313.11636685929
5,1380,5,1312.01,1313.25452257775
6,1380,6,1312.07,1313.38300181354
7,1380,7,1312.5,1313.50223580505
8,1380,8,1313.04,1313.61265579069
9,1380,9,1313.54,1313.71469300884
10,1380,10,1314.23,1313.80877869791
11,1380,11,1315.12,1313.8953440963
12,1380,12,1315.5,1313.97482044239
13,1381,1,1316.1,1314.04763897459
14,1381,2,1314.82,1314.11423093129
15,1381,3,1314.63,1314.1750275509
16,1381,4,1314.59,1314.2304600718
17,1381,5,1314.16,1314.2809597324
18,1381,6,1313.86,1314.32695777109
19,1381,7,1313.56,1314.36888542626
20,1381,8,1313.4,1314.40717393632
21,1381,9,1313.23,1314.44225453966
22,1381,10,1313.48,1314.47455847469
23,1381,11,1313.53,1314.50451697978
24,1381,12,1314.15,1314.53256129335
25,1382,1,1314.54,1314.55912265379
26,1382,2,1315.17,1314.5846322995
27,1382,3,1315.57,1314.60952146887
28,1382,4,1315.52,1314.6342214003
29,1382,5,1315.11,1314.65916333218
30,1382,6,1314.62,1314.68477850292
31,1382,7,1314.42,1314.71149815092
32,1382,8,1314.14,1314.73975351456
33,1382,9,1314.06,1314.76986607206
34,1382,10,1314.36,1314.8017182609
35,1382,11,1314.58,1314.83508275838
36,1382,12,1314.9,1314.86973224178
37,1383,1,1315.32,1314.90543938842
38,1383,2,1315.73,1314.94197687558
39,1383,3,1315.97,1314.97911738055
40,1383,4,1316,1315.01663358064
41,1383,5,1315.71,1315.05429815314
42,1383,6,1315.33,1315.09188377535
43,1383,7,1314.71,1315.12916312455
44,1383,8,1314.66,1315.16590887806
45,1383,9,1314.54,1315.20189371315
46,1383,10,1314.73,1315.23689030713
47,1383,11,1315.07,1315.27067133729
48,1383,12,1315.36,1315.30300948093
49,1384,1,1315.83,1315.33367741535
50,1384,2,1316.18,1315.36244781783
51,1384,3,1316.46,1315.38909336568
52,1384,4,1316.27,1315.4133867362
53,1384,5,1315.95,1315.43510060666
54,1384,6,1315.46,1315.45400765438
55,1384,7,1314.93,1315.46988055665
56,1384,8,1314.47,1315.48249199076
57,1384,9,1314.3,1315.49161463401
58,1384,10,1314.46,1315.49702116369
59,1384,11,1314.85,1315.4984842571
60,1384,12,1315.14,1315.49577659154
61,1385,1,1315.56,1315.4886708443
62,1385,2,1315.89,1315.47693969267
63,1385,3,1316.01,1315.46035581396
64,1385,4,1315.68,1315.43869188545
65,1385,5,1315.23,1315.41180939555
66,1385,6,1314.06,1315.37992507708
67,1385,7,1314.39,1315.34334447395
68,1385,8,1314.11,1315.30237313008
69,1385,9,1314.14,1315.2573165894
70,1385,10,1314.44,1315.20848039583
71,1385,11,1314.68,1315.15617009329
72,1385,12,1315.16,1315.10069122569
73,1386,1,1315.69,1315.04234933696
74,1386,2,1316.04,1314.98144997102
75,1386,3,1316.34,1314.91829867178
76,1386,4,1316.01,1314.85320098318
77,1386,5,1315.61,1314.78646244913
78,1386,6,1315.06,1314.71838861355
79,1386,7,1314.71,1314.64928502036
80,1386,8,1314.24,1314.57945721349
81,1386,9,1314.16,1314.50921073685
82,1386,10,1313.26,1314.43885113436
83,1386,11,1314.71,1314.36868394995
84,1386,12,1315.06,1314.29901472753
85,1387,1,1315.66,1314.23014901103
86,1387,2,1315.84,1314.16239234436
87,1387,3,1315.36,1314.09605027145
88,1387,4,1315.01,1314.03142833622
89,1387,5,1314.41,1313.96883208259
90,1387,6,1313.69,1313.90856705447
91,1387,7,1313.51,1313.8509387958
92,1387,8,1313.11,1313.79625285049
93,1387,9,1313.02,1313.74481476245
94,1387,10,1313.21,1313.69693007562
95,1387,11,1313.41,1313.65290433391
96,1387,12,1313.66,1313.61304308124
97,1388,1,1314.02,1313.57755960771
98,1388,2,1314.24,1313.54629818806
99,1388,3,1314.29,1313.51901084323
100,1388,4,1314.04,1313.49544959413
101,1388,5,1313.56,1313.47536646171
102,1388,6,1312.99,1313.45851346687
103,1388,7,1312.36,1313.44464263055
104,1388,8,1312.26,1313.43350597367
105,1388,9,1311.92,1313.42485551715
106,1388,10,1312.14,1313.41844328193
107,1388,11,1312.52,1313.41402128893
108,1388,12,1312.96,1313.41134155907
109,1389,1,1313.52,1313.41015611328
110,1389,2,1313.94,1313.41021697249
111,1389,3,1314.43,1313.41127615761
112,1389,4,1313.92,1313.41308568958
113,1389,5,1313.59,1313.41539758932
114,1389,6,1313.16,1313.41796387775
115,1389,7,1312.88,1313.42053657581
116,1389,8,1313.53,1313.42286770441
117,1389,9,1312.24,1313.42470928449
118,1389,10,1312.39,1313.42581333696
119,1389,11,1312.71,1313.42593188276
120,1389,12,1313.06,1313.42481694281
121,1390,1,1313.53,1313.42222053803
122,1390,2,1313.93,1313.41789468935
123,1390,3,1314.28,1313.41159141769
124,1390,4,1314.18,1313.40306274399
125,1390,5,1313.79,1313.39206068916
126,1390,6,1313.31,1313.37833727413
127,1390,7,1312.99,1313.36164451983
128,1390,8,1312.86,1313.34173444719
129,1390,9,1312.7,1313.31842609549
130,1390,10,1312.81,1313.29180657751
131,1390,11,1313.15,1313.26203002439
132,1390,12,1313.58,1313.22925056729
133,1391,1,1314.04,1313.19362233733
134,1391,2,1314.38,1313.15529946566
135,1391,3,1314.56,1313.11443608343
136,1391,4,1314.34,1313.07118632178
137,1391,5,1313.97,1313.02570431185
138,1391,6,1313.21,1312.97814418479
139,1391,7,1312.64,1312.92866007173
140,1391,8,1312.28,1312.87740610382
141,1391,9,1311.91,1312.82453641221
142,1391,10,1312.01,1312.77020512803
143,1391,11,1312.48,1312.71456638244
144,1391,12,1312.78,1312.65777430656
145,1392,1,1313.1,1312.59998303156
146,1392,2,1313.34,1312.54134668856
147,1392,3,1313.32,1312.48201940871
148,1392,4,1313.24,1312.42215532315
149,1392,5,1312.26,1312.36190856304
150,1392,6,1311.73,1312.3014332595
151,1392,7,1311.44,1312.24088354369
152,1392,8,1311.14,1312.18041354675
153,1392,9,1310.92,1312.12017739981
154,1392,10,1311.09,1312.06032923403
155,1392,11,1311.43,1312.00102318054
156,1392,12,1311.71,1311.94241337049
157,1393,1,1313.24,1311.88465393502
158,1393,2,1313.33,1311.82789900527
159,1393,3,1313.28,1311.7723027124
160,1393,4,1312.2,1311.71801918753
161,1393,5,1312.17,1311.66516790321
162,1393,6,1310.75,1311.61372969753
163,1393,7,1310.77,1311.56365074997
164,1393,8,1310.26,1311.51487724003
165,1393,9,1310.54,1311.46735534719
166,1393,10,1310.42,1311.42103125093
167,1393,11,1310.31,1311.37585113075
168,1393,12,1311.05,1311.33176116613
169,1394,1,1311.68,1311.28870753656
170,1394,2,1311.9,1311.24663642152
171,1394,3,1312.03,1311.2054940005
172,1394,4,1311.95,1311.16522645299
173,1394,5,1311.43,1311.12577995848
174,1394,6,1310.65,1311.08710069645
175,1394,7,1311.04913484638,1311.04913484638
176,1394,8,1309.48,1311.01182858777
177,1394,9,1311.42,1310.9751281001
178,1394,10,1311.46,1310.93897956286
179,1394,11,1312.54,1310.90332915554
180,1394,12,1312.71,1310.86812305762
181,1395,1,1311.32,1310.83330744858
182,1395,2,1311.01,1310.79882850793
