"V1","V2","V3","V4","V5"
1,1380,1,1291.74,1291.1755061531
2,1380,2,1291.84,1291.19734221227
3,1380,3,1291.34,1291.22083544085
4,1380,4,1291.44,1291.24585705241
5,1380,5,1291.34,1291.27227826055
6,1380,6,1290.72,1291.29997027886
7,1380,7,1290.43,1291.32880432093
8,1380,8,1290.37,1291.35865160035
9,1380,9,1290.08,1291.38938333071
10,1380,10,1290.28,1291.42087072559
11,1380,11,1292.74,1291.45298499859
12,1380,12,1290.93,1291.4855973633
13,1381,1,1292.81,1291.5185790333
14,1381,2,1292.83,1291.55180122218
15,1381,3,1291.83,1291.58513514354
16,1381,4,1292.95,1291.61845201096
17,1381,5,1291.05,1291.65162303804
18,1381,6,1290.73,1291.68451943836
19,1381,7,1290.78,1291.71701242551
20,1381,8,1291.81,1291.74897321308
21,1381,9,1290.51,1291.78027301466
22,1381,10,1291.09,1291.81078304385
23,1381,11,1292.8,1291.84037451422
24,1381,12,1292.8,1291.86891863937
25,1382,1,1292.85,1291.8962866329
26,1382,2,1292.85,1291.92234970838
27,1382,3,1292.85,1291.9469790794
28,1382,4,1292.85,1291.97004595957
29,1382,5,1292.86,1291.99142156246
30,1382,6,1290.71,1292.01097710167
31,1382,7,1290.81,1292.02858379078
32,1382,8,1291.09,1292.04411284339
33,1382,9,1292.69,1292.05747508717
34,1382,10,1292.25,1292.06873980615
35,1382,11,1291.84,1292.07801589845
36,1382,12,1291.65,1292.08541226219
37,1383,1,1292.08,1292.09103779549
38,1383,2,1293.05,1292.09500139645
39,1383,3,1292.77,1292.09741196321
40,1383,4,1291.81,1292.09837839388
41,1383,5,1291.43,1292.09800958658
42,1383,6,1291.17,1292.09641443942
43,1383,7,1291.05,1292.09370185052
44,1383,8,1292.78,1292.089980718
45,1383,9,1292.79,1292.08535993998
46,1383,10,1291.35,1292.07994841458
47,1383,11,1291.32,1292.07385503991
48,1383,12,1292.75,1292.06718871409
49,1384,1,1292.9,1292.06005833524
50,1384,2,1292.8,1292.05257280147
51,1384,3,1292.07,1292.04484101091
52,1384,4,1291.92,1292.03697186168
53,1384,5,1291.7,1292.02907425188
54,1384,6,1291.13,1292.02125707964
55,1384,7,1291.55,1292.01362924308
56,1384,8,1290.87,1292.00629964031
57,1384,9,1292.96,1291.99937716945
58,1384,10,1291.12,1291.99297072862
59,1384,11,1292.6,1291.98718921593
60,1384,12,1292.9,1291.98214152951
61,1385,1,1292.9,1291.97793656748
62,1385,2,1292.95,1291.97468322794
63,1385,3,1292.05,1291.97249040902
64,1385,4,1291.08,1291.97146700884
65,1385,5,1290.89,1291.9716946517
66,1385,6,1290.65,1291.97314586668
67,1385,7,1290.58,1291.97576590903
68,1385,8,1292.92,1291.97950003402
69,1385,9,1290.98,1291.9842934969
70,1385,10,1291.48,1291.99009155294
71,1385,11,1292.62,1291.9968394574
72,1385,12,1292.6,1292.00448246554
73,1386,1,1291.33,1292.01296583262
74,1386,2,1292.9,1292.0222348139
75,1386,3,1292.9,1292.03223466464
76,1386,4,1292.9,1292.04291064011
77,1386,5,1292.95,1292.05420799555
78,1386,6,1292.95,1292.06607198624
79,1386,7,1292.95,1292.07844786744
80,1386,8,1292.3,1292.0912808944
81,1386,9,1291.05,1292.10451632239
82,1386,10,1291.55,1292.11809940667
83,1386,11,1291.05,1292.13197540249
84,1386,12,1292.7,1292.14608956513
85,1387,1,1292.73,1292.16038714983
86,1387,2,1291.93,1292.17481341186
87,1387,3,1291.47,1292.18931360649
88,1387,4,1292.6,1292.20383298897
89,1387,5,1291.27,1292.21831681456
90,1387,6,1292.55,1292.23271033852
91,1387,7,1292.75,1292.24695881612
92,1387,8,1292.7,1292.26100750262
93,1387,9,1292.8,1292.27480165327
94,1387,10,1292.75,1292.28828652334
95,1387,11,1292.75,1292.30140736808
96,1387,12,1292.8,1292.31410944277
97,1388,1,1292.25,1292.32634378022
98,1388,2,1292.14,1292.33808452352
99,1388,3,1292.32,1292.34931159333
100,1388,4,1292.65,1292.36000491029
101,1388,5,1291.31,1292.37014439505
102,1388,6,1291.22,1292.37970996827
103,1388,7,1292.65,1292.38868155061
104,1388,8,1292.73,1292.3970390627
105,1388,9,1291.6,1292.40476242521
106,1388,10,1291.25,1292.41183155878
107,1388,11,1292.8,1292.41822638407
108,1388,12,1291.87,1292.42392682172
109,1389,1,1292.45,1292.4289127924
110,1389,2,1292.6,1292.43316421675
111,1389,3,1292.75,1292.43666101542
112,1389,4,1292.8,1292.43938310906
113,1389,5,1292.93,1292.44131041833
114,1389,6,1291.58,1292.44242286388
115,1389,7,1292.75,1292.44270036635
116,1389,8,1291.63,1292.44212284641
117,1389,9,1291.51,1292.4406702247
118,1389,10,1292.72,1292.43832242188
119,1389,11,1292.65,1292.43505935859
