"V1","V2","V3","V4","V5"
1,1380,1,1283.12,1279.76226349344
2,1380,2,1282.46,1280.01170722487
3,1380,3,1281.02,1280.21819202539
4,1380,4,1278.11,1280.38361602432
5,1380,5,1278.16,1280.50987735099
6,1380,6,1276.73,1280.59887413471
7,1380,7,1277.56,1280.65250450481
8,1380,8,1278.81,1280.6726665906
9,1380,9,1280.01,1280.66125852142
10,1380,10,1281.29,1280.62017842658
11,1380,11,1282.22,1280.55132443541
12,1380,12,1282.87,1280.45659467722
13,1381,1,1283.41,1280.33788728135
14,1381,2,1283.44,1280.1971003771
15,1381,3,1279.73,1280.03613209381
16,1381,4,1277.59,1279.8568805608
17,1381,5,1279.66124390738,1279.66124390738
18,1381,6,1279.45112026288,1279.45112026288
19,1381,7,1279.22840775663,1279.22840775663
20,1381,8,1276.57,1278.99500451794
21,1381,9,1277.71,1278.75280867613
22,1381,10,1278.67,1278.50371836053
23,1381,11,1279.27,1278.24963170047
24,1381,12,1280.24,1277.99244682525
25,1382,1,1280.86,1277.73406186421
26,1382,2,1280.27,1277.47637494667
27,1382,3,1278.11,1277.22128420194
28,1382,4,1276.19,1276.97068775935
29,1382,5,1276.72648374823,1276.72648374823
30,1382,6,1276.49057029789,1276.49057029789
31,1382,7,1276.26484553766,1276.26484553766
32,1382,8,1276.05120759686,1276.05120759686
33,1382,9,1276.44,1275.85115092355
34,1382,10,1277.59,1275.66455524081
35,1382,11,1278.46,1275.49089659044
36,1382,12,1279.06,1275.32965101426
37,1383,1,1278.83,1275.18029455408
38,1383,2,1278.51,1275.0423032517
39,1383,3,1276.51,1274.91515314895
40,1383,4,1274.29,1274.79832028764
41,1383,5,1272.19,1274.69128070957
42,1383,6,1271.3,1274.59351045655
43,1383,7,1272.26,1274.50448557041
44,1383,8,1273.74,1274.42368209295
45,1383,9,1274.85,1274.35057606598
46,1383,10,1275.95,1274.28464353132
47,1383,11,1277.13,1274.22536053078
48,1383,12,1277.86,1274.17220310616
49,1384,1,1278.36,1274.12464729929
50,1384,2,1277.44,1274.08216915197
51,1384,3,1275.3,1274.04424470601
52,1384,4,1272.34,1274.01035000324
53,1384,5,1270.9,1273.97996108545
54,1384,6,1270.25,1273.95255399446
55,1384,7,1271.36,1273.92760477209
56,1384,8,1273.01,1273.90458946014
57,1384,9,1274.08,1273.88298410043
58,1384,10,1275.31,1273.86226473476
59,1384,11,1276.16,1273.84190740496
60,1384,12,1277.06,1273.82138815283
61,1385,1,1276.52,1273.80018302019
62,1385,2,1276.1,1273.77776804884
63,1385,3,1273.89,1273.7536192806
64,1385,4,1270.69,1273.72721275728
65,1385,5,1269.54,1273.69813987606
66,1385,6,1269.19,1273.66645345561
67,1385,7,1270.26,1273.63232166995
68,1385,8,1272.82,1273.59591269313
69,1385,9,1273.58,1273.55739469917
70,1385,10,1274.96,1273.5169358621
71,1385,11,1276.36,1273.47470435597
72,1385,12,1277,1273.4308683548
73,1386,1,1277.54,1273.38559603262
74,1386,2,1276.63,1273.33905556347
75,1386,3,1274.9,1273.29141512138
76,1386,4,1272.71,1273.24284288038
77,1386,5,1270.69,1273.19350701451
78,1386,6,1269.84,1273.1435756978
79,1386,7,1270.5,1273.09321710428
80,1386,8,1272.01,1273.04259940799
81,1386,9,1273.56,1272.99189078295
82,1386,10,1274.94,1272.94125940321
83,1386,11,1275.89,1272.89087344278
84,1386,12,1276.66,1272.84090107572
85,1387,1,1277.11,1272.79151047604
86,1387,2,1275.61,1272.74286981778
87,1387,3,1272.78,1272.69514727498
88,1387,4,1271.36,1272.64851102166
89,1387,5,1269.2,1272.60312923187
90,1387,6,1268.54,1272.55917007962
91,1387,7,1270.41,1272.51680173897
92,1387,8,1271.56,1272.47619238393
93,1387,9,1273.22,1272.43751018854
94,1387,10,1274.25,1272.40092332684
95,1387,11,1274.99,1272.36659997285
96,1387,12,1275.81,1272.33470830062
97,1388,1,1276.53,1272.30536114195
98,1388,2,1274.66,1272.27844995978
99,1388,3,1273.14,1272.25381087485
100,1388,4,1271.34,1272.23128000787
101,1388,5,1269.41,1272.21069347957
102,1388,6,1268.41,1272.19188741068
103,1388,7,1269.86,1272.17469792191
104,1388,8,1270.72,1272.15896113399
105,1388,9,1272.14,1272.14451316765
106,1388,10,1273.06,1272.13119014362
107,1388,11,1274.2,1272.1188281826
108,1388,12,1274.86,1272.10726340534
