"V1","V2","V3","V4","V5"
1,1380,1,1285.54,1285.29818929172
2,1380,2,1285.59,1285.27143372414
3,1380,3,1285.37,1285.25143611349
4,1380,4,1285.3,1285.23785887197
5,1380,5,1285.1,1285.23036441176
6,1380,6,1285.03,1285.22861514506
7,1380,7,1284.94,1285.23227348405
8,1380,8,1284.87,1285.24100184092
9,1380,9,1284.98,1285.25446262787
10,1380,10,1285.01,1285.27231825708
11,1380,11,1285.07,1285.29423114074
12,1380,12,1285.03,1285.31986369105
13,1381,1,1285.22,1285.34887832019
14,1381,2,1285.73,1285.38093744035
15,1381,3,1285.92,1285.41570346372
16,1381,4,1286.25,1285.45283880249
17,1381,5,1285.84,1285.49200586885
18,1381,6,1285.42,1285.532867075
19,1381,7,1285.27,1285.57508483311
20,1381,8,1285.23,1285.61832155538
21,1381,9,1285.26,1285.66223965401
22,1381,10,1285.31,1285.70650154117
23,1381,11,1285.76,1285.75076962906
24,1381,12,1286.21,1285.79470632986
25,1382,1,1286.64,1285.83797405578
26,1382,2,1286.67,1285.88023521899
27,1382,3,1286.52,1285.92115223169
28,1382,4,1286.02,1285.96038750607
29,1382,5,1285.75,1285.99760345432
30,1382,6,1285.65,1286.03246248862
31,1382,7,1285.5,1286.06462702116
32,1382,8,1285.5,1286.09375946414
33,1382,9,1285.72,1286.11960274869
34,1382,10,1286.22,1286.14222188166
35,1382,11,1286.24,1286.16176238888
36,1382,12,1286.59,1286.17836979614
37,1383,1,1286.35,1286.19218962926
38,1383,2,1286.8,1286.20336741404
39,1383,3,1286.38,1286.21204867629
40,1383,4,1286.18,1286.21837894182
41,1383,5,1285.94,1286.22250373643
42,1383,6,1285.87,1286.22456858594
43,1383,7,1286.07,1286.22471901615
44,1383,8,1286.22,1286.22310055287
45,1383,9,1285.89,1286.2198587219
46,1383,10,1285.95,1286.21513904905
47,1383,11,1286.2,1286.20908706014
48,1383,12,1286.26,1286.20184828096
49,1384,1,1286.55,1286.19356823733
50,1384,2,1286.57,1286.18439245506
51,1384,3,1286.47,1286.17446645994
52,1384,4,1286.12,1286.16393577779
53,1384,5,1285.92,1286.15294593442
54,1384,6,1286.02,1286.14164245563
55,1384,7,1285.79,1286.13017086724
56,1384,8,1285.77,1286.11867669504
57,1384,9,1285.77,1286.10730546484
58,1384,10,1286.02,1286.09620270246
59,1384,11,1286.11,1286.08551393371
60,1384,12,1286.26,1286.07538468438
61,1385,1,1286.5,1286.06596048028
62,1385,2,1286.63,1286.05738684723
63,1385,3,1286.17,1286.04980931104
64,1385,4,1286.02,1286.0433733975
65,1385,5,1285.86,1286.03819009288
66,1385,6,1285.72,1286.03423222526
67,1385,7,1285.67,1286.03143808318
68,1385,8,1285.79,1286.02974595517
69,1385,9,1285.92,1286.02909412977
70,1385,10,1285.87,1286.0294208955
71,1385,11,1285.94,1286.03066454092
72,1385,12,1286.25,1286.03276335454
73,1386,1,1286.34,1286.0356556249
74,1386,2,1286.72,1286.03927964055
75,1386,3,1286.15,1286.04357369001
76,1386,4,1286.03,1286.04847606182
77,1386,5,1285.92,1286.05392504452
78,1386,6,1285.92,1286.05985892663
79,1386,7,1285.87,1286.0662159967
80,1386,8,1285.72,1286.07293454326
81,1386,9,1285.99,1286.07995285484
82,1386,10,1285.92,1286.08720921998
83,1386,11,1286.52,1286.09464192721
84,1386,12,1286.87,1286.10218926507
85,1387,1,1286.32,1286.1097895221
86,1387,2,1286.3,1286.11738098682
87,1387,3,1286,1286.12490194778
88,1387,4,1286.11,1286.1322906935
89,1387,5,1285.89,1286.13948551252
90,1387,6,1286.47,1286.14642469338
91,1387,7,1285.92,1286.15304652462
92,1387,8,1286.12,1286.15928929476
93,1387,9,1286.13,1286.16509129234
94,1387,10,1286.13,1286.1703908059
95,1387,11,1286.22,1286.17512612397
96,1387,12,1286.27,1286.17923553508
97,1388,1,1286.54,1286.18267328606
98,1388,2,1286.24,1286.18545745686
99,1388,3,1286.14,1286.18762208571
100,1388,4,1286.09,1286.18920121085
101,1388,5,1286.24,1286.19022887052
102,1388,6,1285.95,1286.19073910295
103,1388,7,1285.82,1286.19076594638
104,1388,8,1285.91,1286.19034343904
105,1388,9,1286.12,1286.18950561918
106,1388,10,1286.16,1286.18828652502
107,1388,11,1286.2,1286.18672019481
108,1388,12,1286.24,1286.18484066677
109,1389,1,1286.27,1286.18268197916
110,1389,2,1286.36,1286.1802781702
111,1389,3,1286.15,1286.17766327812
112,1389,4,1285.9,1286.17487134117
113,1389,5,1286.09,1286.17193639759
114,1389,6,1285.7,1286.1688924856
115,1389,7,1286.22,1286.16577364345
116,1389,8,1286.17,1286.16261390937
117,1389,9,1286.09,1286.15944732159
118,1389,10,1286.2,1286.15630791836
119,1389,11,1286.26,1286.15322973791
120,1389,12,1286.34,1286.15024681847
121,1390,1,1286.46,1286.14739319829
122,1390,2,1286.59,1286.1447029156
123,1390,3,1286.3,1286.14221000863
124,1390,4,1286.08,1286.13994851562
125,1390,5,1286,1286.13795247481
126,1390,6,1285.6,1286.13625592444
127,1390,7,1285.6,1286.13489290273
128,1390,8,1285.64,1286.13389744794
129,1390,9,1286.09,1286.13329196114
130,1390,10,1286.23,1286.13305229485
131,1390,11,1286.3,1286.13314266444
132,1390,12,1286.42,1286.13352728529
133,1391,1,1286.84,1286.13417037275
134,1391,2,1286.72,1286.13503614221
135,1391,3,1286.34,1286.13608880902
136,1391,4,1286.22,1286.13729258856
137,1391,5,1286.02,1286.1386116962
138,1391,6,1285.82,1286.1400103473
139,1391,7,1285.72,1286.14145275724
140,1391,8,1285.87,1286.14290314138
141,1391,9,1285.98,1286.1443257151
142,1391,10,1286.42,1286.14568469376
143,1391,11,1286.54,1286.14694429274
144,1391,12,1286.63,1286.14806872739
145,1392,1,1286.61,1286.1490222131
146,1392,2,1286.39,1286.14976896522
147,1392,3,1286.28,1286.15027319914
148,1392,4,1286.18,1286.15049913021
149,1392,5,1285.82,1286.15041097382
150,1392,6,1285.64,1286.14997294531
151,1392,7,1285.57,1286.14914926008
152,1392,8,1285.61,1286.14790413348
153,1392,9,1285.9,1286.14620178089
154,1392,10,1285.96,1286.14400641767
