"V1","V2","V3","V4","V5"
1,1380,1,1315.43,1314.68560146742
2,1380,2,1315.33,1314.71471792626
3,1380,3,1314.73,1314.74216235979
4,1380,4,1314.57,1314.7680013596
5,1380,5,1314.35,1314.7923015173
6,1380,6,1314.51,1314.81512942448
7,1380,7,1314.1,1314.83655167273
8,1380,8,1314.18,1314.85663485364
9,1380,9,1314.44,1314.87544555882
10,1380,10,1314.51,1314.89305037986
11,1380,11,1314.48,1314.90951590836
12,1380,12,1314.5,1314.9249087359
13,1381,1,1315.12,1314.93929545409
14,1381,2,1316.25,1314.95274265451
15,1381,3,1316.75,1314.96531692878
16,1381,4,1315.36,1314.97708486847
17,1381,5,1315.5,1314.98811306519
18,1381,6,1314.76,1314.99846811054
19,1381,7,1314.48,1315.00821659609
20,1381,8,1314.68,1315.01742511347
21,1381,9,1314.55,1315.02616025424
22,1381,10,1314.62,1315.03448861003
23,1381,11,1314.7,1315.04247677241
24,1381,12,1314.93,1315.05019133298
25,1382,1,1315.55,1315.05769888334
26,1382,2,1315.59,1315.06506601509
27,1382,3,1316.18,1315.07235931982
28,1382,4,1315.31,1315.07964538912
29,1382,5,1314.93,1315.08699081459
30,1382,6,1314.65,1315.09446218783
31,1382,7,1314.75,1315.10212610043
32,1382,8,1314.87,1315.11004914399
33,1382,9,1314.7,1315.11827961214
34,1382,10,1314.71,1315.12679260672
35,1382,11,1314.79,1315.13554493159
36,1382,12,1314.87,1315.14449339062
37,1383,1,1316.04,1315.15359478769
38,1383,2,1316.22,1315.16280592666
39,1383,3,1316.04,1315.1720836114
40,1383,4,1315.55,1315.18138464579
41,1383,5,1315.27,1315.1906658337
42,1383,6,1315,1315.19988397899
43,1383,7,1314.82,1315.20899588553
44,1383,8,1314.82,1315.21795835721
45,1383,9,1314.85,1315.22672819788
46,1383,10,1314.75,1315.23526221142
47,1383,11,1314.77,1315.24351720169
48,1383,12,1314.92,1315.25144997258
49,1384,1,1315.37,1315.25901732794
50,1384,2,1316.35,1315.26617607166
51,1384,3,1316.37,1315.27288300759
52,1384,4,1314.57,1315.27909493961
53,1384,5,1315.45,1315.2847686716
54,1384,6,1315.16,1315.28986100741
55,1384,7,1314.82,1315.29432875093
56,1384,8,1314.71,1315.29812870601
57,1384,9,1314.55,1315.30121767655
58,1384,10,1314.79,1315.30355246639
59,1384,11,1314.9,1315.30508987942
60,1384,12,1315.17,1315.3057867195
61,1385,1,1315.87,1315.3055997905
62,1385,2,1316,1315.3044858963
63,1385,3,1316.01,1315.30240184077
64,1385,4,1314.87,1315.29930442777
65,1385,5,1315,1315.29516622161
66,1385,6,1314.85,1315.29002282836
67,1385,7,1314.95,1315.28392561452
68,1385,8,1315.15,1315.27692594658
69,1385,9,1314.92,1315.26907519105
70,1385,10,1314.65,1315.26042471443
71,1385,11,1315.57,1315.25102588322
72,1385,12,1314.9,1315.24093006391
73,1386,1,1315.55,1315.23018862302
74,1386,2,1316.82,1315.21885292703
75,1386,3,1316.07,1315.20697434245
76,1386,4,1315.3,1315.19460423579
77,1386,5,1315.51,1315.18179397353
78,1386,6,1314.92,1315.16859492218
79,1386,7,1315.07,1315.15505844824
80,1386,8,1316.07,1315.14123591822
81,1386,9,1314.92,1315.12717869861
82,1386,10,1314.59,1315.1129381559
83,1386,11,1314.45,1315.09856565662
84,1386,12,1314.47,1315.08411256724
85,1387,1,1315.7,1315.06963025427
86,1387,2,1315.83,1315.05517008422
87,1387,3,1315.51,1315.04078342359
88,1387,4,1315.17,1315.02652163886
89,1387,5,1315.75,1315.01243609656
90,1387,6,1315.41,1314.99857816316
91,1387,7,1314.61,1314.98499920518
92,1387,8,1314.55,1314.97175058912
93,1387,9,1314.37,1314.95888368147
94,1387,10,1314.17,1314.94644984874
95,1387,11,1313.66,1314.93450045742
96,1387,12,1314.43,1314.92308687403
97,1388,1,1315.85,1314.91224667252
