"V1","V2","V3","V4","V5"
1,1380,1,1290.02,1289.51820220181
2,1380,2,1289.8,1289.49736246846
3,1380,3,1289.66,1289.48200903154
4,1380,4,1289.41,1289.47186663317
5,1380,5,1289.27,1289.46666001547
6,1380,6,1289.24,1289.46611392056
7,1380,7,1289.16,1289.46995309058
8,1380,8,1289.02,1289.47790226765
9,1380,9,1289.12,1289.4896861939
10,1380,10,1289.13,1289.50502961145
11,1380,11,1289.28,1289.52365726243
12,1380,12,1289.23,1289.54529388896
13,1381,1,1289.69,1289.56966423318
14,1381,2,1290.19,1289.5964930372
15,1381,3,1290.06,1289.62550504315
16,1381,4,1289.76,1289.65642499316
17,1381,5,1289.56,1289.68897762935
18,1381,6,1289.5,1289.72288769386
19,1381,7,1289.76,1289.7578799288
20,1381,8,1289.84,1289.7936790763
21,1381,9,1290.02,1289.83000987849
22,1381,10,1289.38,1289.86659707749
23,1381,11,1289.69,1289.90316541544
24,1381,12,1290.5,1289.93943963444
25,1382,1,1290.32,1289.97514447665
26,1382,2,1290.88,1290.01000468416
27,1382,3,1290.72,1290.04374499913
28,1382,4,1290.28,1290.07609016366
29,1382,5,1289.9,1290.10676491988
30,1382,6,1290.89,1290.13549400993
31,1382,7,1289.65,1290.16200217593
32,1382,8,1289.53,1290.18601416
33,1382,9,1289.76,1290.20731829532
34,1382,10,1289.96,1290.22595727929
35,1382,11,1290.16,1290.24203740037
36,1382,12,1290.28,1290.25566494699
37,1383,1,1290.41,1290.26694620763
38,1383,2,1290.9,1290.27598747071
39,1383,3,1290.71,1290.2828950247
40,1383,4,1290.38,1290.28777515805
41,1383,5,1290.08,1290.29073415921
42,1383,6,1289.93,1290.29187831663
43,1383,7,1289.84,1290.29131391876
44,1383,8,1289.79,1290.28914725405
45,1383,9,1289.9,1290.28548461096
46,1383,10,1290.04,1290.28043227793
47,1383,11,1290.14,1290.27409654342
48,1383,12,1290.34,1290.26658369587
49,1384,1,1290.82,1290.25800002374
50,1384,2,1291.04,1290.24845181548
51,1384,3,1290.77,1290.23804535954
52,1384,4,1290.14,1290.22688694437
53,1384,5,1289.88,1290.21508285842
54,1384,6,1289.74,1290.20273939015
55,1384,7,1289.56,1290.18996282801
56,1384,8,1289.61,1290.17685946044
57,1384,9,1289.76,1290.16353557589
58,1384,10,1289.73,1290.15009746283
59,1384,11,1289.71,1290.1366514097
60,1384,12,1290.66,1290.12330370494
61,1385,1,1291.21,1290.11016063702
62,1385,2,1290.96,1290.09732849438
63,1385,3,1290.46,1290.08491356548
64,1385,4,1289.89,1290.07302213876
65,1385,5,1289.71,1290.06174270793
66,1385,6,1289.56,1290.0510925877
67,1385,7,1289.54,1290.04107129802
68,1385,8,1289.71,1290.03167835885
69,1385,9,1289.78,1290.02291329016
70,1385,10,1290.12,1290.01477561189
71,1385,11,1290.06,1290.00726484401
72,1385,12,1289.94,1290.00038050648
73,1386,1,1290.19,1289.99412211926
74,1386,2,1290.83,1289.9884892023
75,1386,3,1290.56,1289.98348127557
76,1386,4,1290.22,1289.97909785902
77,1386,5,1289.92,1289.97533847261
78,1386,6,1290.54,1289.97220263629
79,1386,7,1289.76,1289.96968987004
80,1386,8,1289.71,1289.9677996938
81,1386,9,1289.86,1289.96653162754
82,1386,10,1290.16,1289.96588519121
