"V1","V2","V3","V4","V5"
1,1380,1,1624.63,1624.47798347744
2,1380,2,1624.31,1624.57261375887
3,1380,3,1624.26,1624.65340076455
4,1380,4,1624.2,1624.72095230122
5,1380,5,1624.03,1624.77587617563
6,1380,6,1624.24,1624.81878019455
7,1380,7,1624.38,1624.85027216472
8,1380,8,1625.11,1624.87095989289
9,1380,9,1625.76,1624.88145118583
10,1380,10,1625.98,1624.88235385028
11,1380,11,1626.69,1624.874275693
12,1380,12,1626.75,1624.85782452075
13,1381,1,1627.26,1624.83360814027
14,1381,2,1624.23,1624.80223435832
15,1381,3,1624.1,1624.76431098166
16,1381,4,1624.72044581703,1624.72044581703
17,1381,5,1624.6712466712,1624.6712466712
18,1381,6,1624.61732135091,1624.61732135091
19,1381,7,1623.62,1624.55927766292
20,1381,8,1624.02,1624.49772341399
21,1381,9,1623.83,1624.43326641086
22,1381,10,1624,1624.3665144603
23,1381,11,1624.18,1624.29807536904
24,1381,12,1624.25,1624.22855694386
25,1382,1,1624.28,1624.1585669915
26,1382,2,1624.27,1624.08871331872
27,1382,3,1623.54,1624.01960373227
28,1382,4,1623.5,1623.9518460389
29,1382,5,1623.2,1623.88604804537
30,1382,6,1623.26,1623.82281755843
31,1382,7,1623.66,1623.76276238483
32,1382,8,1623.75,1623.70649033134
33,1382,9,1623.85,1623.65447848678
34,1382,10,1623.92,1623.60668106833
35,1382,11,1624,1623.56292157523
36,1382,12,1624.07,1623.52302350674
37,1383,1,1624.1,1623.48681036211
38,1383,2,1624.15,1623.4541056406
39,1383,3,1623.84,1623.42473284144
40,1383,4,1623.65,1623.39851546391
41,1383,5,1623.12,1623.37527700724
42,1383,6,1622.88,1623.35484097069
43,1383,7,1622.88,1623.33703085351
44,1383,8,1623.56,1623.32167015495
45,1383,9,1623.63,1623.30858237427
46,1383,10,1623.79,1623.29759101072
47,1383,11,1623.82,1623.28851956354
48,1383,12,1623.87,1623.28119153199
49,1384,1,1623.97,1623.27543041533
50,1384,2,1623.9,1623.2710597128
51,1384,3,1623.63,1623.26790292365
52,1384,4,1622.87,1623.26578354714
53,1384,5,1622.73,1623.26452508252
54,1384,6,1622.6,1623.26395102905
55,1384,7,1622.95,1623.26388488596
56,1384,8,1623.35,1623.26415015252
57,1384,9,1623.53,1623.26457032797
