"V1","V2","V3","V4","V5"
1,1380,1,1285.03,1285.10303249451
2,1380,2,1284.91,1285.01966097605
3,1380,3,1284.91,1284.94645907102
4,1380,4,1284.91,1284.88301612752
5,1380,5,1284.77,1284.82892149366
6,1380,6,1284.79,1284.78376451757
7,1380,7,1284.82,1284.74713454733
8,1380,8,1284.53,1284.71862093108
9,1380,9,1284.8,1284.69781301693
10,1380,10,1284.77,1284.68430015298
11,1380,11,1284.75,1284.67767168734
12,1380,12,1284.62,1284.67751696813
13,1381,1,1284.95,1284.68342534346
14,1381,2,1285.07,1284.69498616145
15,1381,3,1285.01,1284.7117887702
16,1381,4,1284.98,1284.73342251782
17,1381,5,1284.95,1284.75947675244
18,1381,6,1284.63,1284.78954082215
19,1381,7,1284.79,1284.82320407508
20,1381,8,1284.77,1284.86005585933
21,1381,9,1284.74,1284.89968552302
22,1381,10,1284.74,1284.94168241425
23,1381,11,1284.7,1284.98563588114
24,1381,12,1284.72,1285.03113527181
25,1382,1,1284.8,1285.07776993436
26,1382,2,1285.05,1285.1251292169
27,1382,3,1285.35,1285.17280246756
28,1382,4,1285.2,1285.22037903443
29,1382,5,1285.08,1285.26744826563
30,1382,6,1285.01,1285.31359950928
31,1382,7,1284.98,1285.35842211348
32,1382,8,1284.95,1285.40150542636
33,1382,9,1284.94,1285.44251240056
34,1382,10,1284.91,1285.481400407
35,1382,11,1286.08,1285.51820042111
36,1382,12,1286.27,1285.55294341835
37,1383,1,1286.02,1285.58566037417
38,1383,2,1286.69,1285.61638226401
39,1383,3,1286.45,1285.64514006333
40,1383,4,1285.85,1285.67196474758
41,1383,5,1285.55,1285.6968872922
42,1383,6,1285.41,1285.71993867264
43,1383,7,1285.42,1285.74114986436
44,1383,8,1285.4,1285.7605518428
45,1383,9,1285.42,1285.77817558341
46,1383,10,1285.53,1285.79405206165
47,1383,11,1286.43,1285.80821225295
48,1383,12,1286.47,1285.82068713278
49,1384,1,1286.47,1285.83150767658
50,1384,2,1286.52,1285.8407048598
51,1384,3,1285.92,1285.84830965788
52,1384,4,1285.71,1285.85435304629
53,1384,5,1285.47,1285.85886600046
54,1384,6,1285.34,1285.86187949585
55,1384,7,1285.25,1285.86342450791
56,1384,8,1285.3,1285.86353201208
57,1384,9,1285.17,1285.86223298382
58,1384,10,1285.87,1285.85955839857
59,1384,11,1285.95,1285.85553923179
60,1384,12,1285.82,1285.85020645892
61,1385,1,1286.2,1285.84359105542
62,1385,2,1286.25,1285.83572399673
63,1385,3,1286.02,1285.8266362583
64,1385,4,1285.61,1285.81635881558
65,1385,5,1285.35,1285.80493070376
66,1385,6,1285.37,1285.79242319695
67,1385,7,1285.31,1285.778915629
68,1385,8,1285.74,1285.76448733377
69,1385,9,1285.82,1285.74921764511
70,1385,10,1285.42,1285.73318589686
71,1385,11,1285.9,1285.71647142288
72,1385,12,1286.5,1285.69915355702
73,1386,1,1286.32,1285.68131163314
74,1386,2,1286.51,1285.66302498507
75,1386,3,1286.12,1285.64437294668
76,1386,4,1285.74,1285.62543485182
77,1386,5,1285.47,1285.60629003433
78,1386,6,1285.29,1285.58701782808
79,1386,7,1285.25,1285.5676975669
80,1386,8,1285.25,1285.54840858465
81,1386,9,1285.87,1285.52923021518
82,1386,10,1285.47,1285.51024179235
83,1386,11,1285.09,1285.49152265
84,1386,12,1285.64,1285.47315212199
85,1387,1,1285.44,1285.45520954217
86,1387,2,1285.44,1285.43777424438
87,1387,3,1285.24,1285.42092556249
88,1387,4,1285.1,1285.40474283033
89,1387,5,1285.05,1285.38930538177
90,1387,6,1285.02,1285.37469255065
91,1387,7,1285.37,1285.36098367083
92,1387,8,1285.42,1285.34825807616
93,1387,9,1285.07,1285.33659510048
94,1387,10,1285.97,1285.32607407765
95,1387,11,1285.37,1285.31677434152
96,1387,12,1285.32,1285.30877522595
97,1388,1,1285.73,1285.30213408657
98,1388,2,1285.41,1285.29682036621
99,1388,3,1285.27,1285.29278152949
100,1388,4,1285.16,1285.28996504102
101,1388,5,1285.07,1285.28831836542
102,1388,6,1285,1285.28778896732
103,1388,7,1285,1285.28832431131
104,1388,8,1285.22,1285.28987186203
105,1388,9,1285.32,1285.29237908409
106,1388,10,1285.37,1285.2957934421
107,1388,11,1285.3,1285.30006240069
108,1388,12,1286.02,1285.30513342447
109,1389,1,1286.15,1285.31095397805
110,1389,2,1286.17,1285.31747152606
111,1389,3,1285.32,1285.32463353311
112,1389,4,1285.27,1285.33238746381
113,1389,5,1285.07,1285.34068078279
114,1389,6,1284.94,1285.34946095466
115,1389,7,1284.87,1285.35867544404
116,1389,8,1284.97,1285.36827171555
117,1389,9,1285.02,1285.3781972338
118,1389,10,1285.07,1285.38839946341
119,1389,11,1284.94,1285.39882586899
120,1389,12,1284.97,1285.40942391517
121,1390,1,1285.85,1285.42014106656
122,1390,2,1286.24,1285.43092478778
123,1390,3,1286.07,1285.44172254344
124,1390,4,1285.53,1285.45248179816
125,1390,5,1285.02,1285.46315001656
126,1390,6,1284.9,1285.47367466325
127,1390,7,1285.07,1285.48400320286
128,1390,8,1285.11,1285.4940831
129,1390,9,1285.29,1285.50387418109
130,1390,10,1285.61,1285.51338571982
131,1390,11,1285.76,1285.52263935168
