"V1","V2","V3","V4","V5"
1,1380,1,1617.88,1618.58335231991
2,1380,2,1618.82,1618.57929285339
3,1380,3,1618.46,1618.57409033277
4,1380,4,1618.12,1618.56776419359
5,1380,5,1618.29,1618.56033387137
6,1380,6,1618.55,1618.55181880164
7,1380,7,1618.83,1618.54223841994
8,1380,8,1618.9,1618.53161216179
9,1380,9,1619.33,1618.51995946273
10,1380,10,1619.21,1618.50729975829
11,1380,11,1619.42,1618.49365248399
12,1380,12,1619.51,1618.47903707537
13,1381,1,1619.41,1618.46347296795
14,1381,2,1617.63,1618.44697959728
15,1381,3,1617.6,1618.42957639887
16,1381,4,1617.56,1618.41128280826
17,1381,5,1617.63,1618.39211826098
18,1381,6,1618.01,1618.37210219255
19,1381,7,1618.15,1618.35125403852
20,1381,8,1618.3,1618.32959323441
21,1381,9,1618.07,1618.30713921575
22,1381,10,1617.91,1618.28391141807
23,1381,11,1617.76,1618.2599292769
24,1381,12,1617.74,1618.23521222777
25,1382,1,1617.85,1618.20977970622
26,1382,2,1617.92,1618.18365114777
27,1382,3,1618.24,1618.15684598795
28,1382,4,1618.4,1618.12938366229
29,1382,5,1618.6,1618.10128360633
30,1382,6,1618.79,1618.07256525559
31,1382,7,1618.73,1618.04324804561
32,1382,8,1618.6,1618.01335141191
33,1382,9,1618.37,1617.98290822984
34,1382,10,1618.17,1617.95200513396
35,1382,11,1618,1617.92074219865
36,1382,12,1617.85,1617.8892194983
37,1383,1,1617.74,1617.85753710728
38,1383,2,1617.64,1617.82579509997
39,1383,3,1617.53,1617.79409355075
40,1383,4,1617.48,1617.762532534
41,1383,5,1617.43,1617.7312121241
42,1383,6,1617.37,1617.70023239543
43,1383,7,1617.36,1617.66969342237
44,1383,8,1617.4,1617.63969527929
45,1383,9,1617.37,1617.61033804058
46,1383,10,1617.54,1617.58172178061
47,1383,11,1617.59,1617.55394657377
48,1383,12,1617.55,1617.52711249442
49,1384,1,1617.53,1617.50131961696
50,1384,2,1617.5,1617.47666801577
51,1384,3,1617.46,1617.45325776521
52,1384,4,1617.57,1617.43118893967
53,1384,5,1617.2,1617.41056161353
54,1384,6,1617.62,1617.39147586117
55,1384,7,1617.85,1617.37403175697
56,1384,8,1617.89,1617.3583293753
57,1384,9,1617.83,1617.34446879055
58,1384,10,1617.32,1617.33255007709
59,1384,11,1617.18,1617.32267330931
60,1384,12,1617.6,1617.31493856158
61,1385,1,1617.55,1617.30944590828
62,1385,2,1617.45,1617.30629542379
63,1385,3,1617.32,1617.30558718249
64,1385,4,1617.3,1617.30742125877
65,1385,5,1617.36,1617.31185783551
66,1385,6,1617.37,1617.31879752973
67,1385,7,1617.36,1617.32810106696
68,1385,8,1617.25,1617.33962917271
69,1385,9,1617.25,1617.35324257253
70,1385,10,1617.8,1617.36880199192
71,1385,11,1617.67,1617.38616815643
72,1385,12,1617.13,1617.40520179158
73,1386,1,1617.2,1617.42576362289
74,1386,2,1617.23,1617.4477143759
75,1386,3,1617.2,1617.47091477613
76,1386,4,1617.22,1617.49522554911
77,1386,5,1617.26,1617.52050742036
78,1386,6,1617.3,1617.54662111541
79,1386,7,1617.29,1617.57342735979
80,1386,8,1617.36,1617.60078687903
81,1386,9,1617.22,1617.62856039865
82,1386,10,1617.7,1617.65660864419
83,1386,11,1617.48,1617.68479234116
84,1386,12,1617.45,1617.71297221509
85,1387,1,1617.5,1617.74100899152
86,1387,2,1617.59,1617.76876339597
87,1387,3,1617.67,1617.79609615397
88,1387,4,1617.75,1617.82286799104
89,1387,5,1617.75,1617.84893963271
90,1387,6,1617.8,1617.87417180451
91,1387,7,1617.92,1617.89842523196
92,1387,8,1617.98,1617.9215606406
93,1387,9,1618.08,1617.94343875594
94,1387,10,1618.07,1617.96392030353
95,1387,11,1618.13,1617.98286600888
96,1387,12,1618.33,1618.00013659752
97,1388,1,1618.47,1618.01562015237
98,1388,2,1618.55,1618.02931418599
99,1388,3,1618.6,1618.04124356829
100,1388,4,1618.63,1618.05143316922
101,1388,5,1618.64,1618.05990785871
102,1388,6,1618.35,1618.0666925067
103,1388,7,1618.33,1618.07181198312
104,1388,8,1618.55,1618.0752911579
105,1388,9,1618.2,1618.07715490099
106,1388,10,1618.05,1618.07742808232
107,1388,11,1617.99,1618.07613557183
108,1388,12,1618,1618.07330223944
109,1389,1,1618.1,1618.0689529551
110,1389,2,1618.08,1618.06311258874
111,1389,3,1618,1618.0558060103
112,1389,4,1617.92,1618.04705808971
113,1389,5,1617.8,1618.03689369691
114,1389,6,1617.93,1618.02533770183
115,1389,7,1617.84,1618.01241497442
116,1389,8,1618.15,1617.99815038459
117,1389,9,1617.58,1617.9825688023
118,1389,10,1617.48,1617.96569509747
119,1389,11,1617.38,1617.94755414005
120,1389,12,1617.28,1617.92817079996
121,1390,1,1617.32,1617.90756994715
122,1390,2,1617.19,1617.88577645154
123,1390,3,1617.15,1617.86281518308
124,1390,4,1617.2,1617.8387110117
125,1390,5,1617.37,1617.81348880734
126,1390,6,1617.7,1617.78717343992
127,1390,7,1617.78,1617.75978977939
128,1390,8,1617.92,1617.73136269569
129,1390,9,1617.88,1617.70194502735
130,1390,10,1617.8,1617.67170148736
131,1390,11,1617.79,1617.64082475733
132,1390,12,1617.8,1617.60950751883
133,1391,1,1617.74,1617.57794245348
134,1391,2,1617.76,1617.54632224286
135,1391,3,1617.92,1617.51483956858
136,1391,4,1617.95,1617.48368711222
137,1391,5,1617.8,1617.45305755538
138,1391,6,1617.64,1617.42314357966
139,1391,7,1617.66,1617.39413786665
140,1391,8,1617.69,1617.36623309795
141,1391,9,1617.77,1617.33962195515
142,1391,10,1617.7,1617.31449711985
143,1391,11,1617.62,1617.29105127364
144,1391,12,1617.6,1617.26947709813
145,1392,1,1617.5,1617.2499672749
146,1392,2,1617.45,1617.23271448555
147,1392,3,1617.35,1617.21791141168
148,1392,4,1617.35,1617.20575073488
149,1392,5,1617.2,1617.19642513674
150,1392,6,1617.15,1617.19012729887
151,1392,7,1617.15,1617.18704990286
152,1392,8,1617.1,1617.1873856303
153,1392,9,1617.1,1617.19132716279
154,1392,10,1617.3,1617.19906718192
155,1392,11,1617.3,1617.2107983693
156,1392,12,1617.2,1617.22671340651
157,1393,1,1617.25,1617.24700497515
158,1393,2,1617.25,1617.27186575682
159,1393,3,1617.2,1617.30148843311
160,1393,4,1617.2,1617.33606568561
161,1393,5,1617.09,1617.37561418026
162,1393,6,1617,1617.41944652023
163,1393,7,1616.95,1617.46669929307
164,1393,8,1616.9,1617.51650908628
165,1393,9,1616.9,1617.56801248739
166,1393,10,1616.9,1617.62034608393
167,1393,11,1616.85,1617.67264646342
168,1393,12,1617.5,1617.72405021337
169,1394,1,1617.69,1617.77369392132
170,1394,2,1617.9,1617.82071417478
171,1394,3,1618.02,1617.86424756127
172,1394,4,1618.34,1617.90343066832
173,1394,5,1618.35,1617.93740008346
174,1394,6,1617.62,1617.96529239419
175,1394,7,1618.64,1617.98624418805
176,1394,8,1618.72,1617.99939205255
177,1394,9,1618.91,1618.00387257523
