"V1","V2","V3","V4","V5"
1,1380,1,1314.3,1313.35859024628
2,1380,2,1313.96,1313.3736856667
3,1380,3,1313.32,1313.38977896513
4,1380,4,1313.12,1313.40679991685
5,1380,5,1312.74,1313.42467829713
6,1380,6,1312.84,1313.44334388128
7,1380,7,1312.8,1313.46272644457
8,1380,8,1312.82,1313.48275576229
9,1380,9,1313.24,1313.50336160972
10,1380,10,1313.38,1313.52447376216
11,1380,11,1313.53,1313.54602199488
12,1380,12,1313.49,1313.56793608318
13,1381,1,1314.09,1313.59014580233
14,1381,2,1314.98,1313.61258092763
15,1381,3,1314.78,1313.63517123436
16,1381,4,1313.69,1313.65784649781
17,1381,5,1313.46,1313.68053649326
18,1381,6,1313.29,1313.70317099599
19,1381,7,1313.26,1313.72567978131
20,1381,8,1313.2,1313.74799262448
21,1381,9,1313.41,1313.77003930079
22,1381,10,1313.55,1313.79174958554
23,1381,11,1313.6,1313.81305325401
24,1381,12,1313.99,1313.83388008148
25,1382,1,1314.76,1313.85415984323
26,1382,2,1315.2,1313.87382231457
27,1382,3,1314.92,1313.89279727076
28,1382,4,1313.99,1313.9110144871
29,1382,5,1313.7,1313.92840373887
30,1382,6,1313.33,1313.94489480136
31,1382,7,1313.45,1313.96041744986
32,1382,8,1313.51,1313.97490145964
33,1382,9,1313.45,1313.98828992009
34,1382,10,1313.63,1314.00057917695
35,1382,11,1313.73,1314.01177889005
36,1382,12,1313.91,1314.02189871922
37,1383,1,1314.52,1314.0309483243
38,1383,2,1315.03,1314.03893736511
39,1383,3,1314.83,1314.04587550149
40,1383,4,1314.32,1314.05177239327
41,1383,5,1313.84,1314.05663770029
42,1383,6,1313.57,1314.06048108237
43,1383,7,1313.46,1314.06331219934
44,1383,8,1314.34,1314.06514071105
45,1383,9,1313.68,1314.06597627732
46,1383,10,1313.62,1314.06582855798
47,1383,11,1313.74,1314.06470721286
48,1383,12,1313.91,1314.06262190181
49,1384,1,1314.46,1314.05958228464
50,1384,2,1315.24,1314.0555980212
51,1384,3,1315,1314.05067877131
52,1384,4,1314,1314.04483419481
53,1384,5,1313.7,1314.03807395152
54,1384,6,1313.49,1314.03040770129
55,1384,7,1313.34,1314.02184510394
56,1384,8,1313.28,1314.0123958193
57,1384,9,1313.21,1314.00206950721
58,1384,10,1313.64,1313.99087582751
59,1384,11,1313.76,1313.97882444001
60,1384,12,1314.03,1313.96592500455
61,1385,1,1314.64,1313.95218718098
62,1385,2,1315.01,1313.9376206291
63,1385,3,1314.6,1313.92223500877
64,1385,4,1313.71,1313.90603997982
65,1385,5,1313.42,1313.88905237595
66,1385,6,1313.4,1313.87131772645
67,1385,7,1313.29,1313.85288873447
68,1385,8,1313.71,1313.83381810318
69,1385,9,1313.63,1313.81415853574
70,1385,10,1313.34,1313.7939627353
71,1385,11,1314.16,1313.77328340503
72,1385,12,1313.26,1313.75217324809
73,1386,1,1314.14,1313.73068496763
