"V1","V2","V3","V4","V5"
1,1380,1,1331.55,1330.40675748247
2,1380,2,1331.15,1330.54078100395
3,1380,3,1330.3,1330.66788774473
4,1380,4,1330.21,1330.78829884815
5,1380,5,1329.93,1330.90223545755
6,1380,6,1330.15,1331.00991871628
7,1380,7,1330.39,1331.11156976768
8,1380,8,1330.86,1331.20740975509
9,1380,9,1331.42,1331.29765982185
10,1380,10,1331.92,1331.38254111131
11,1380,11,1332.36,1331.4622747668
12,1380,12,1332.25,1331.53708193168
13,1381,1,1332.34,1331.60718374927
14,1381,2,1332.55,1331.67280136293
15,1381,3,1331.14,1331.734155916
16,1381,4,1331.24,1331.79146855182
17,1381,5,1330.94,1331.84496041372
18,1381,6,1331.07,1331.89485264506
19,1381,7,1331.46,1331.94136638917
20,1381,8,1331.63,1331.98472278941
21,1381,9,1332.41,1332.0251429891
22,1381,10,1332.63,1332.06284813159
23,1381,11,1332.83,1332.09805936023
24,1381,12,1333.1,1332.13099781836
25,1382,1,1332.78,1332.16188464931
26,1382,2,1332.42,1332.19094099644
27,1382,3,1331.9,1332.21838800308
28,1382,4,1331.85,1332.24444681257
29,1382,5,1331.65,1332.26933856826
30,1382,6,1331.6,1332.29328441349
31,1382,7,1331.87,1332.31650549161
32,1382,8,1332.14,1332.33922294595
33,1382,9,1332.64,1332.36161415337
34,1382,10,1332.98,1332.38368142478
35,1382,11,1333.23,1332.40538330462
36,1382,12,1333.11,1332.4266783373
37,1383,1,1332.73,1332.44752506725
38,1383,2,1333.11,1332.4678820389
39,1383,3,1332.01,1332.48770779667
40,1383,4,1332.04,1332.506960885
41,1383,5,1331.85,1332.5255998483
42,1383,6,1331.87,1332.54358323101
43,1383,7,1331.99,1332.56086957754
44,1383,8,1332.39,1332.57741743233
45,1383,9,1332.84,1332.59318533981
46,1383,10,1333.18,1332.60813184439
47,1383,11,1333.37,1332.62221549051
48,1383,12,1333.48,1332.63539482259
49,1384,1,1333.24,1332.64762838506
50,1384,2,1332.49,1332.65887472234
51,1384,3,1332.22,1332.66909237886
52,1384,4,1332.12,1332.67823989904
