"V1","V2","V3","V4","V5"
1,1380,1,1291.45,1291.11603200888
2,1380,2,1291.16,1291.06735372979
3,1380,3,1291.1,1291.02654971886
4,1380,4,1291,1290.99324469321
5,1380,5,1290.83,1290.96706336999
6,1380,6,1290.67,1290.94763046633
7,1380,7,1290.62,1290.93457069937
8,1380,8,1290.52,1290.92750878623
9,1380,9,1290.7,1290.92606944407
10,1380,10,1290.74,1290.92987739
11,1380,11,1290.96,1290.93855734118
12,1380,12,1290.85,1290.95173401473
13,1381,1,1291.5,1290.96903212779
14,1381,2,1291.8,1290.9900763975
15,1381,3,1291.45,1291.01449154099
16,1381,4,1291.33,1291.0419022754
17,1381,5,1291.04,1291.07193331786
18,1381,6,1290.87,1291.10420938552
19,1381,7,1290.72,1291.1383551955
20,1381,8,1290.68,1291.17399546494
21,1381,9,1291.04,1291.21075491097
22,1381,10,1290.95,1291.24825825075
23,1381,11,1291.22,1291.28613020139
24,1381,12,1291.81,1291.32399548003
25,1382,1,1291.83,1291.36147880382
26,1382,2,1291.81,1291.39820488988
27,1382,3,1291.72,1291.43379845535
28,1382,4,1291.65,1291.46788421738
29,1382,5,1291.22,1291.50008689308
30,1382,6,1291.17,1291.53003119961
31,1382,7,1291.29,1291.5573418541
32,1382,8,1291.14,1291.58164357367
33,1382,9,1291.29,1291.60264691909
34,1382,10,1291.55,1291.62040582561
35,1382,11,1291.62,1291.63506007209
36,1382,12,1291.77,1291.64674943739
37,1383,1,1291.85,1291.65561370039
38,1383,2,1291.99,1291.66179263995
39,1383,3,1291.79,1291.66542603494
40,1383,4,1291.77,1291.66665366421
41,1383,5,1291.61,1291.66561530665
42,1383,6,1291.5,1291.66245074112
43,1383,7,1291.28,1291.65729974647
44,1383,8,1292.2,1291.65030210159
45,1383,9,1291.47,1291.64159758533
46,1383,10,1291.65,1291.63132597656
47,1383,11,1291.6,1291.61962705415
48,1383,12,1291.73,1291.60664059697
49,1384,1,1292.2,1291.59250638388
50,1384,2,1292.15,1291.57736419374
51,1384,3,1291.87,1291.56135380543
52,1384,4,1291.47,1291.54461499782
53,1384,5,1291.25,1291.52728754976
54,1384,6,1291.17,1291.50951124012
55,1384,7,1290.9,1291.49142584777
56,1384,8,1290.97,1291.47317115159
57,1384,9,1291.18,1291.45488693042
58,1384,10,1291.12,1291.43671296315
59,1384,11,1291.31,1291.41878902863
60,1384,12,1291.82,1291.40125490574
61,1385,1,1291.87,1291.38425037333
62,1385,2,1291.84,1291.36791521028
63,1385,3,1291.57,1291.35238919546
64,1385,4,1291.34,1291.33781210772
65,1385,5,1290.45,1291.32429693028
66,1385,6,1290.27,1291.31184946365
67,1385,7,1290.67,1291.30044871271
68,1385,8,1291.01,1291.29007368231
69,1385,9,1291.08,1291.28070337733
70,1385,10,1291.67,1291.27231680263
71,1385,11,1291.89,1291.26489296307
72,1385,12,1291.37,1291.25841086352
73,1386,1,1291.55,1291.25284950884
74,1386,2,1291.77,1291.24818790389
75,1386,3,1291.73,1291.24440505354
76,1386,4,1291.54,1291.24147996266
77,1386,5,1291.35,1291.2393916361
78,1386,6,1291.21,1291.23811907874
79,1386,7,1291.12,1291.23764129543
80,1386,8,1291.07,1291.23793729105
81,1386,9,1291.12,1291.23898607045
82,1386,10,1291.77,1291.24076663851
83,1386,11,1291.17,1291.24325800007
84,1386,12,1291.29,1291.24643916002
85,1387,1,1291.55,1291.25028912321
86,1387,2,1291.47,1291.25478689451
87,1387,3,1291.25,1291.25991147878
88,1387,4,1290.99,1291.26564188088
89,1387,5,1290.97,1291.27195710569
90,1387,6,1290.71,1291.27883615807
91,1387,7,1291.05,1291.28625804287
92,1387,8,1291.17,1291.29420176497
93,1387,9,1291.27,1291.30264632922
94,1387,10,1291.57,1291.3115707405
95,1387,11,1291.49,1291.32095400367
96,1387,12,1291.65,1291.33077512358
97,1388,1,1291.67,1291.34100867968
98,1388,2,1291.27,1291.35161154963
99,1388,3,1291.27,1291.36253618566
100,1388,4,1291.53,1291.37373504003
101,1388,5,1291.22,1291.38516056495
102,1388,6,1291.23,1291.39676521268
103,1388,7,1291.45,1291.40850143544
104,1388,8,1291.25,1291.42032168547
105,1388,9,1292.02,1291.43217841501
106,1388,10,1291.32,1291.44402407629
107,1388,11,1291.32,1291.45581112156
108,1388,12,1291.62,1291.46749200304
109,1389,1,1291.27,1291.47901917298
110,1389,2,1291.69,1291.49034508361
111,1389,3,1291.87,1291.50142218716
112,1389,4,1291.52,1291.51220293589
113,1389,5,1291.31,1291.52263978201
114,1389,6,1291.13,1291.53268517777
115,1389,7,1291.22,1291.5422915754
116,1389,8,1291.2,1291.55141142714
117,1389,9,1291.27,1291.55999718523
118,1389,10,1291.33,1291.5680013019
119,1389,11,1291.39,1291.5753762294
120,1389,12,1291.47,1291.58207441995
121,1390,1,1291.9,1291.58804832579
122,1390,2,1291.95,1291.59325039916
123,1390,3,1291.92,1291.5976330923
124,1390,4,1291.59,1291.60114885744
125,1390,5,1291.45,1291.60375014681
126,1390,6,1291.60538941267,1291.60538941267
127,1390,7,1290.97,1291.60601910724
128,1390,8,1291.17,1291.60559168275
129,1390,9,1291.37,1291.60407870367
130,1390,10,1291.6,1291.60152818332
131,1390,11,1291.65,1291.59800724725
132,1390,12,1291.62,1291.593583021
133,1391,1,1291.87,1291.58832263013
134,1391,2,1292.17,1291.58229320017
135,1391,3,1291.82,1291.57556185668
136,1391,4,1291.72,1291.5681957252
137,1391,5,1291.57,1291.56026193127
138,1391,6,1291.32,1291.55182760045
139,1391,7,1291.52,1291.54295985828
140,1391,8,1291.71,1291.53372583031
141,1391,9,1291.67,1291.52419264208
142,1391,10,1291.94,1291.51442741915
143,1391,11,1292.02,1291.50449728705
