"V1","V2","V3","V4","V5"
1,1380,1,1385.54,1385.50131265529
2,1380,2,1385.53,1385.49695140459
3,1380,3,1385.53,1385.49104970294
4,1380,4,1385.15,1385.48372226608
5,1380,5,1385.08,1385.47508380977
6,1380,6,1385.26,1385.46524904974
7,1380,7,1385.29,1385.45433270175
8,1380,8,1385.46,1385.44244948155
9,1380,9,1385.69,1385.42971410488
10,1380,10,1385.79,1385.41624128748
11,1380,11,1385.91,1385.40214574512
12,1380,12,1385.84,1385.38754219353
13,1381,1,1385.68,1385.37254534847
14,1381,2,1386.13,1385.35726992567
15,1381,3,1385.23,1385.3418306409
16,1381,4,1385.2,1385.32634220989
17,1381,5,1385.1,1385.31091934839
18,1381,6,1385.03,1385.29567677216
19,1381,7,1384.98,1385.28072919693
20,1381,8,1385.07,1385.26619133847
21,1381,9,1385.08,1385.2521779125
22,1381,10,1385.09,1385.23880363479
23,1381,11,1385.08,1385.22618322109
24,1381,12,1385.16,1385.21443138712
25,1382,1,1385.18,1385.20366284866
26,1382,2,1385.2,1385.19399232144
27,1382,3,1385.15,1385.18553452121
28,1382,4,1385.1,1385.17840416372
29,1382,5,1384.94,1385.17271596471
30,1382,6,1384.9,1385.16858463994
31,1382,7,1384.86,1385.16612490515
32,1382,8,1384.95,1385.16545147609
33,1382,9,1385.03,1385.16664323657
34,1382,10,1385.15,1385.16963574261
35,1382,11,1385.22,1385.17432871831
36,1382,12,1385.26,1385.18062188776
37,1383,1,1385.38,1385.18841497504
38,1383,2,1385.3,1385.19760770426
39,1383,3,1385.25,1385.20809979948
40,1383,4,1385.55,1385.21979098482
41,1383,5,1385.45,1385.23258098435
42,1383,6,1385.4,1385.24636952216
43,1383,7,1385.35,1385.26105632236
44,1383,8,1385.35,1385.27654110901
45,1383,9,1385.38,1385.29272360623
46,1383,10,1385.46,1385.30950353809
47,1383,11,1385.47,1385.32678062868
48,1383,12,1385.48,1385.3444546021
49,1384,1,1385.48,1385.36242518243
50,1384,2,1385.43,1385.38059209377
51,1384,3,1385.48,1385.39885506021
52,1384,4,1385.43,1385.41711380583
53,1384,5,1385.37,1385.43526805472
54,1384,6,1385.33,1385.45321753098
55,1384,7,1385.35,1385.47086195869
56,1384,8,1385.38,1385.48810106194
57,1384,9,1385.43,1385.50483456483
58,1384,10,1385.63,1385.52096219144
59,1384,11,1385.69,1385.53638366587
60,1384,12,1385.65,1385.5509987122
61,1385,1,1385.51,1385.56470705452
62,1385,2,1385.63,1385.57740841693
63,1385,3,1385.58,1385.5890025235
64,1385,4,1385.51,1385.59938909835
65,1385,5,1385.47,1385.60849475497
66,1385,6,1385.46,1385.61635366459
67,1385,7,1385.43,1385.62302688789
68,1385,8,1385.59,1385.6285754855
69,1385,9,1385.61,1385.63306051808
70,1385,10,1385.57,1385.63654304629
71,1385,11,1385.63,1385.63908413078
72,1385,12,1385.5,1385.64074483222
73,1386,1,1385.72,1385.64158621124
74,1386,2,1385.66,1385.64166932852
75,1386,3,1385.6,1385.6410552447
76,1386,4,1385.55,1385.63980502044
77,1386,5,1385.48,1385.63797971639
78,1386,6,1385.48,1385.63564039321
79,1386,7,1385.45,1385.63284811156
80,1386,8,1385.53,1385.62966393209
81,1386,9,1385.58,1385.62614891545
82,1386,10,1385.58,1385.62236412231
83,1386,11,1385.71,1385.6183706133
84,1386,12,1385.75,1385.6142294491
85,1387,1,1386.13,1385.61000169036
86,1387,2,1385.65,1385.60574839772
87,1387,3,1385.63,1385.60153063186
88,1387,4,1385.63,1385.59740945341
89,1387,5,1385.52,1385.59344592304
90,1387,6,1385.57,1385.5897011014
91,1387,7,1385.63,1385.58623604915
92,1387,8,1385.71,1385.58311182694
93,1387,9,1385.71,1385.58038949543
94,1387,10,1385.76,1385.57813011527
95,1387,11,1385.73,1385.57639474711
96,1387,12,1385.71,1385.57524445162
97,1388,1,1385.76,1385.57471911123
98,1388,2,1385.71,1385.57477389547
99,1388,3,1385.66,1385.57534279567
100,1388,4,1385.59,1385.57635980316
101,1388,5,1385.53,1385.57775890924
102,1388,6,1385.53,1385.57947410525
103,1388,7,1385.53,1385.58143938251
104,1388,8,1385.55,1385.58358873233
105,1388,9,1385.39,1385.58585614604
106,1388,10,1385.43,1385.58817561495
107,1388,11,1385.48,1385.59048113039
108,1388,12,1385.5,1385.59270668369
109,1389,1,1385.53,1385.59478626615
110,1389,2,1385.43,1385.59665386911
111,1389,3,1385.38,1385.59824348388
112,1389,4,1385.33,1385.59948910179
113,1389,5,1385.28,1385.60032471415
114,1389,6,1385.25,1385.60068431229
115,1389,7,1385.43,1385.60050188752
116,1389,8,1385.38,1385.59971143118
117,1389,9,1385.53,1385.59824693457
118,1389,10,1385.58,1385.59604238903
119,1389,11,1385.83,1385.59303178587
120,1389,12,1385.83,1385.58914911641
121,1390,1,1385.75,1385.58432837198
122,1390,2,1385.79,1385.57850354389
123,1390,3,1385.69,1385.57160862347
124,1390,4,1385.61,1385.56357760204
125,1390,5,1385.51,1385.55434447092
126,1390,6,1385.51,1385.54384322142
127,1390,7,1385.61,1385.53200784488
128,1390,8,1385.77,1385.51877233262
129,1390,9,1385.8,1385.5041003764
130,1390,10,1385.83,1385.48807446988
131,1390,11,1385.83,1385.47080680713
132,1390,12,1385.83,1385.45240958226
133,1391,1,1385.78,1385.43299498934
134,1391,2,1385.8,1385.41267522249
135,1391,3,1385.73,1385.39156247578
136,1391,4,1385.71,1385.36976894332
137,1391,5,1385.71,1385.34740681919
138,1391,6,1385.68,1385.32458829749
139,1391,7,1385.66,1385.30142557231
140,1391,8,1384.63,1385.27803083774
141,1391,9,1384.58,1385.25451628787
142,1391,10,1384.58,1385.23099411681
143,1391,11,1384.61,1385.20757651863
144,1391,12,1385.18437568744,1385.18437568744
145,1392,1,1384.66,1385.16150381732
146,1392,2,1384.58,1385.13907310237
147,1392,3,1384.78,1385.11719573668
148,1392,4,1384.65,1385.09598391434
149,1392,5,1384.33,1385.07554982945
150,1392,6,1384.79,1385.0560056761
151,1392,7,1385.08,1385.03746364838
152,1392,8,1384.95,1385.02003594038
153,1392,9,1385.03,1385.0038347462
154,1392,10,1385,1384.98897225992
155,1392,11,1385.09,1384.97556067565
156,1392,12,1385.18,1384.96371218747
157,1393,1,1385.19,1384.95353898948
158,1393,2,1384.98,1384.94515327577
159,1393,3,1384.9,1384.93866724043
160,1393,4,1385.09,1384.93419307756
161,1393,5,1384.97,1384.93180214569
162,1393,6,1385.02,1384.93140246121
163,1393,7,1385.04,1384.93286120492
164,1393,8,1385.21,1384.93604555764
