"V1","V2","V3","V4","V5"
1,1380,1,1776.15,1776.45706499053
2,1380,2,1776.12,1776.48185930382
3,1380,3,1776.3,1776.49409594682
4,1380,4,1776.22,1776.49439622038
5,1380,5,1775.95,1776.48338142532
6,1380,6,1776.12,1776.46167286249
7,1380,7,1776.3,1776.42989183272
8,1380,8,1776.38,1776.38865963685
9,1380,9,1777.08,1776.33859757572
10,1380,10,1777.51,1776.28032695015
11,1380,11,1778.11,1776.214469061
12,1380,12,1778.02,1776.14164520909
13,1381,1,1778.5,1776.06247669527
14,1381,2,1775.03,1775.97758482037
15,1381,3,1774.8,1775.88759088522
16,1381,4,1774.95,1775.79311619067
17,1381,5,1774.9,1775.69478203754
18,1381,6,1774.83,1775.59320972669
19,1381,7,1774.75,1775.48902055894
20,1381,8,1775.01,1775.38283583513
21,1381,9,1774.71,1775.27527685609
22,1381,10,1774.81,1775.16696492268
23,1381,11,1774.53,1775.05852133571
24,1381,12,1774.72,1774.95056739603
25,1382,1,1774.65,1774.84372440448
26,1382,2,1774.66,1774.73861366189
27,1382,3,1774.59,1774.63585646909
28,1382,4,1774.35,1774.53607412694
29,1382,5,1774.28,1774.43988793625
30,1382,6,1774.28,1774.34791919787
31,1382,7,1774.32,1774.26078921265
32,1382,8,1774.32,1774.1791192814
33,1382,9,1774.2,1774.1033747463
34,1382,10,1774.14,1774.03339711482
35,1382,11,1774.06,1773.96887193575
36,1382,12,1773.90948475791,1773.90948475791
37,1383,1,1773.98,1773.85492113007
38,1383,2,1773.98,1773.80486660105
39,1383,3,1773.95,1773.75900671965
40,1383,4,1773.85,1773.71702703465
41,1383,5,1773.86,1773.67861309487
42,1383,6,1773.85,1773.64345044909
43,1383,7,1773.8,1773.61122464612
44,1383,8,1773.75,1773.58162123476
45,1383,9,1773.68,1773.55432576381
46,1383,10,1773.74,1773.52902378205
47,1383,11,1773.7,1773.5054008383
48,1383,12,1773.73,1773.48314248136
49,1384,1,1773.67,1773.46193426001
50,1384,2,1773.54,1773.44146172306
51,1384,3,1773.58,1773.42141041931
52,1384,4,1773.57,1773.40146589756
53,1384,5,1773.54,1773.3813137066
54,1384,6,1773.5,1773.36063939524
55,1384,7,1773.4,1773.33912851227
