"V1","V2","V3","V4","V5"
1,1380,1,1321.41,1320.91699674818
2,1380,2,1321.42,1320.76814203192
3,1380,3,1320.87,1320.6264871836
4,1380,4,1319.98,1320.49196448762
5,1380,5,1319.07,1320.36450622836
6,1380,6,1318.93,1320.24404469022
7,1380,7,1318.67,1320.13051215759
8,1380,8,1319.04,1320.02384091486
9,1380,9,1319.62,1319.92396324644
10,1380,10,1320.36,1319.8308114367
11,1380,11,1321.2,1319.74431777005
12,1380,12,1321.99,1319.66441453088
13,1381,1,1322.69,1319.59103400358
14,1381,2,1320.79,1319.52410847254
15,1381,3,1320.62,1319.46357022216
16,1381,4,1319.85,1319.40935153683
17,1381,5,1318.95,1319.36138470094
18,1381,6,1318.42,1319.31960199889
19,1381,7,1318.04,1319.28393571506
20,1381,8,1317.69,1319.25431813387
21,1381,9,1317.84,1319.23068153968
22,1381,10,1318.15,1319.21295821691
23,1381,11,1318.34,1319.20108044994
24,1381,12,1319.13,1319.19498052316
25,1382,1,1320.02,1319.19459072097
26,1382,2,1320.7,1319.19984332776
27,1382,3,1320.23,1319.21067062793
28,1382,4,1319.53,1319.22700490586
29,1382,5,1318.74,1319.24877844596
30,1382,6,1318.14,1319.27592353261
31,1382,7,1317.89,1319.30837245021
32,1382,8,1317.98,1319.34605748314
33,1382,9,1318.23,1319.38886552321
34,1382,10,1318.74,1319.43650189183
35,1382,11,1319.38,1319.48862651778
36,1382,12,1320.03,1319.54489932988
37,1383,1,1320.89,1319.60498025694
38,1383,2,1321.25,1319.66852922776
39,1383,3,1321.15,1319.73520617115
40,1383,4,1320.21,1319.8046710159
41,1383,5,1319.18,1319.87658369083
42,1383,6,1318.71,1319.95060412474
43,1383,7,1318.39,1320.02639224644
44,1383,8,1318.5,1320.10360798473
45,1383,9,1318.8,1320.18191126842
46,1383,10,1319.7,1320.26096202631
47,1383,11,1320.76,1320.34042018721
48,1383,12,1321.56,1320.41994567993
49,1384,1,1322.86,1320.49919843326
50,1384,2,1323.54,1320.57783837601
51,1384,3,1323.64,1320.655525437
52,1384,4,1323,1320.73191954502
53,1384,5,1323,1320.80668062888
54,1384,6,1320.09,1320.87946861738
55,1384,7,1319.59,1320.94994343934
56,1384,8,1320.04,1321.01776502355
57,1384,9,1320.19,1321.08259329882
58,1384,10,1319.79,1321.14408819396
59,1384,11,1320.89,1321.20190963778
60,1384,12,1322.21,1321.25571755907
61,1385,1,1322.91,1321.30517188664
62,1385,2,1323.03,1321.3499325493
63,1385,3,1322.48,1321.38965947586
64,1385,4,1320.62,1321.42401259511
65,1385,5,1319.86,1321.45275749808
66,1385,6,1319.09,1321.47608242464
67,1385,7,1318.8,1321.49428127687
68,1385,8,1318.69,1321.50764795684
