"V1","V2","V3","V4","V5"
1,1380,1,1300.04,1296.15303674488
2,1380,2,1296.94,1296.17314878912
3,1380,3,1295.02,1296.19961748509
4,1380,4,1292.74,1296.2321973099
5,1380,5,1292.03,1296.27064274066
6,1380,6,1292.05,1296.31470825448
7,1380,7,1293.42,1296.36414832847
8,1380,8,1296.76,1296.41871743975
9,1380,9,1299.21,1296.47817006542
10,1380,10,1300.78,1296.54226068261
11,1380,11,1302,1296.61074376842
12,1380,12,1301.06,1296.68337379996
13,1381,1,1302.74,1296.75990525435
14,1381,2,1299.57,1296.8400926087
15,1381,3,1296.95,1296.92369034012
16,1381,4,1293.61,1297.01045292572
17,1381,5,1291.62,1297.10013484262
18,1381,6,1291.23,1297.19249056793
19,1381,7,1293.05,1297.28727457876
20,1381,8,1295.61,1297.38424135222
21,1381,9,1298.67,1297.48314536543
22,1381,10,1299.89,1297.58374109549
23,1381,11,1300.83,1297.68578301953
24,1381,12,1301.99,1297.78902561464
25,1382,1,1302.42,1297.89322335795
26,1382,2,1298.78,1297.99813072656
27,1382,3,1296.72,1298.1035021976
28,1382,4,1294.48,1298.20909224816
29,1382,5,1292.83,1298.31465535537
30,1382,6,1293.19,1298.41994599633
31,1382,7,1295.78,1298.52471864816
32,1382,8,1297.09,1298.62872778797
33,1382,9,1299.13,1298.73175422986
34,1382,10,1300.76,1298.83368413593
35,1382,11,1302.05,1298.93443000526
36,1382,12,1302.7,1299.03390433693
37,1383,1,1301.48,1299.13201963002
38,1383,2,1301.29,1299.22868838362
39,1383,3,1298.11,1299.3238230968
40,1383,4,1297.66,1299.41733626866
41,1383,5,1295.69,1299.50914039827
42,1383,6,1295.79,1299.59914798472
43,1383,7,1297.42,1299.68727152709
44,1383,8,1298.34,1299.77342352447
45,1383,9,1300.17,1299.85751647593
46,1383,10,1302.39,1299.93946288056
47,1383,11,1303.55,1300.01917523744
48,1383,12,1304.18,1300.09656604566
49,1384,1,1304.89,1300.17154780429
50,1384,2,1301.99,1300.24403301243
51,1384,3,1307.89,1300.31393416914
52,1384,4,1297.32,1300.38116377353
53,1384,5,1296.87,1300.44563432466
54,1384,6,1297,1300.50725832163
55,1384,7,1296.41,1300.56594826351
56,1384,8,1300.99,1300.62161664938
57,1384,9,1300.99,1300.67417597834
58,1384,10,1303.09,1300.72353874946
59,1384,11,1304.23,1300.76961746183
60,1384,12,1304.47,1300.81232461453
61,1385,1,1303.41,1300.85157270664
62,1385,2,1300.68,1300.88727423724
63,1385,3,1299.36,1300.91934170542
64,1385,4,1296.85,1300.94768761026
65,1385,5,1296.17,1300.97226827278
66,1385,6,1296.62,1300.99321530175
67,1385,7,1297.47,1301.01070412786
68,1385,8,1300.47,1301.02491018183
69,1385,9,1301.77,1301.03600889434
70,1385,10,1302.57,1301.0441756961
71,1385,11,1303.89,1301.04958601781
72,1385,12,1304.58,1301.05241529018
73,1386,1,1305.58,1301.05283894391
74,1386,2,1302.69,1301.05103240969
75,1386,3,1300.1,1301.04717111824
76,1386,4,1299.29,1301.04143050024
77,1386,5,1297.61,1301.03398598641
78,1386,6,1297.17,1301.02501300744
79,1386,7,1297.91,1301.01468699403
80,1386,8,1299.81,1301.00318337689
81,1386,9,1301.89,1300.99067758672
82,1386,10,1302.55,1300.97734505423
83,1386,11,1304.46,1300.9633612101
84,1386,12,1305.24,1300.94890148505
85,1387,1,1304.72,1300.93414130977
86,1387,2,1301.07,1300.91925611497
87,1387,3,1298.61,1300.90442133134
88,1387,4,1298.51,1300.8898123896
89,1387,5,1297.43,1300.87560472043
90,1387,6,1296.21,1300.86197375456
91,1387,7,1297.86,1300.84909492266
92,1387,8,1300.14,1300.83714365545
93,1387,9,1301.89,1300.82629538363
94,1387,10,1303.11,1300.8167255379
95,1387,11,1304.02,1300.80860954895
96,1387,12,1304.61,1300.80212284751
97,1388,1,1303.65,1300.79740385247
98,1388,2,1302.04,1300.79444293567
99,1388,3,1299.47,1300.79319345715
100,1388,4,1298.69,1300.79360877693
101,1388,5,1298.29,1300.79564225507
102,1388,6,1297.34,1300.7992472516
103,1388,7,1298.87,1300.80437712656
104,1388,8,1299.37,1300.81098523998
105,1388,9,1301.79,1300.81902495192
106,1388,10,1302.62,1300.8284496224
107,1388,11,1303.78,1300.83921261147
108,1388,12,1304.31,1300.85126727917
109,1389,1,1304.29,1300.86456698553
110,1389,2,1303.99,1300.8790650906
111,1389,3,1300.54,1300.89471495441
112,1389,4,1297.97,1300.91146993701
113,1389,5,1297.69,1300.92928339843
114,1389,6,1298.69,1300.94810869871
115,1389,7,1298.73,1300.9678991979
116,1389,8,1298.95,1300.98860825602
117,1389,9,1300.54,1301.01018923313
118,1389,10,1302.25,1301.03259548926
119,1389,11,1303.36,1301.05578038444
120,1389,12,1304.17,1301.07969727873
121,1390,1,1304.19,1301.10429953215
122,1390,2,1304.2,1301.12954050475
123,1390,3,1301.02,1301.15537355657
124,1390,4,1299.94,1301.18175204764
125,1390,5,1297.45,1301.20862933801
126,1390,6,1297.55,1301.23595878771
127,1390,7,1298.95,1301.26369375678
128,1390,8,1299.87,1301.29178760527
129,1390,9,1301.8,1301.32016617898
130,1390,10,1303.22,1301.3486452668
131,1390,11,1303.81,1301.37701314336
132,1390,12,1304.12,1301.40505808334
133,1391,1,1306.49,1301.43256836136
134,1391,2,1303.64,1301.45933225209
135,1391,3,1300.99,1301.48513803018
136,1391,4,1300.04,1301.50977397027
137,1391,5,1298.77,1301.53302834702
138,1391,6,1297.64,1301.55468943508
139,1391,7,1298.54,1301.57454550909
140,1391,8,1299.86,1301.59238484371
141,1391,9,1301.21,1301.60799571359
142,1391,10,1303.19,1301.62116639338
143,1391,11,1304.26,1301.63168515773
144,1391,12,1304.22,1301.63934028129
145,1392,1,1303.6,1301.64392003871
146,1392,2,1302.22,1301.64521270464
147,1392,3,1300.26,1301.64300655373
148,1392,4,1299.59,1301.63708986064
149,1392,5,1298.18,1301.6272509
150,1392,6,1297.67,1301.61327794648
151,1392,7,1298.88,1301.59495927473
152,1392,8,1300.39,1301.57208315938
153,1392,9,1301.91,1301.5444378751
154,1392,10,1303.36,1301.51181169654
155,1392,11,1304.34,1301.47399289834
156,1392,12,1304.49,1301.43076975516
157,1393,1,1304.92,1301.38193054164
158,1393,2,1302.37,1301.32726353244
159,1393,3,1300.34,1301.26655700221
160,1393,4,1299.97,1301.1995992256
161,1393,5,1298.57,1301.1268214801
162,1393,6,1297.06,1301.0512270546
163,1393,7,1299.78,1300.97646224084
164,1393,8,1300.75,1300.90617333055
165,1393,9,1303.14,1300.84400661546
166,1393,10,1302.84,1300.79360838731
167,1393,11,1302.83,1300.75862493783
168,1393,12,1305.63,1300.74270255875
169,1394,1,1305.48,1300.74948754181
170,1394,2,1303.89,1300.78262617874
171,1394,3,1301.27,1300.84576476128
172,1394,4,1300.77,1300.94254958115
173,1394,5,1298.44,1301.0766269301
174,1394,6,1297.03,1301.25164309985
175,1394,7,1294.8,1301.47124438214
176,1394,8,1297.77,1301.7390770687
177,1394,9,1300.69,1302.05878745127
178,1394,10,1302.43402182158,1302.43402182158
179,1394,11,1302.86842647137,1302.86842647137
180,1394,12,1303.49,1303.36564769236
181,1395,1,1302.79,1303.92933177629
182,1395,2,1302.09,1304.5631250149
183,1395,3,1305.27067369991,1305.27067369991
184,1395,4,1306.05562412307,1306.05562412307
185,1395,5,1307.24,1306.9216225761
186,1395,6,1307.18,1307.87231535074
187,1395,7,1307.04,1308.91134873873
188,1395,8,1307.19,1310.04236903179
189,1395,9,1307.09,1311.26902252166
190,1395,10,1307.12,1312.59495550008
191,1395,11,1307.47,1314.02381425877
192,1395,12,1307.6,1315.55924508947
